#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
辛亥革命推翻了清王朝的统治，结束了在中国延续两千多年的封建君主专制制度，但没有改变中国半殖民地半封建的社会性质。（对/错？）	A. 正确<br>B. 错误	A	正确。这是辛亥革命历史意义与局限性的统一：它建立了中华民国，传播了民主共和理念，但未能改变社会性质，也未能完成反帝反封建的任务。	考研政治::史纲
辛亥革命的失败，从根本上说是因为：	A. 资产阶级革命派具有软弱性和妥协性<br>B. 袁世凯窃取了革命果实<br>C. 帝国主义干涉<br>D. 缺乏群众基础	A	根本原因是资产阶级革命派自身的软弱性和妥协性（不敢彻底反帝反封建，不能充分发动和依靠人民群众）。B、C、D 都是表现或具体原因，不是根本原因。	考研政治::史纲
新文化运动兴起的标志和基本口号是：	A. 陈独秀创办《青年杂志》，高举民主和科学两大旗帜<br>B. 李大钊发表《我的马克思主义观》<br>C. 鲁迅发表《狂人日记》<br>D. 五四运动爆发	A	1915年陈独秀在上海创办《青年杂志》（后改名《新青年》），标志着新文化运动兴起，基本口号是民主（德先生）和科学（赛先生）。B、C 是新文化运动后期的内容。	考研政治::史纲
五四运动的历史特点是：	A. 一场彻底反帝反封建的爱国运动，是中国新民主主义革命的开端<br>B. 中国近代史上第一次大规模的反侵略斗争<br>C. 资产阶级领导的民主革命<br>D. 以农民为主体的革命运动	A	五四运动是一场彻底反帝反封建的伟大爱国革命运动，促进了马克思主义在中国的传播和中国工人阶级登上政治舞台，**是中国新民主主义革命的开端**。	考研政治::史纲
中国共产党的成立，是开天辟地的大事变，深刻改变了近代以后中华民族发展的方向和进程，中国人民从此有了主心骨。（对/错？）	A. 正确<br>B. 错误	A	正确。中国共产党成立使中国革命有了坚强的领导核心、科学的指导思想和新的革命方法，中国革命的面貌从此焕然一新。	考研政治::史纲
1927年八七会议的历史功绩是：	A. 确定了土地革命和武装反抗国民党反动派的总方针<br>B. 确立了毛泽东在党中央的领导地位<br>C. 提出了抗日民族统一战线方针<br>D. 确定了农村包围城市的道路	A	八七会议在汉口召开，批判了大革命后期陈独秀的右倾机会主义错误，确定了**土地革命和武装反抗国民党反动派的总方针**，毛泽东提出「须知政权是由枪杆子中取得的」。B 是遵义会议。	考研政治::史纲
「工农武装割据」思想的内容包括：	A. 土地革命、武装斗争、农村革命根据地建设<br>B. 统一战线、武装斗争、党的建设<br>C. 实事求是、群众路线、独立自主<br>D. 减租减息、生产自救、拥军优抗	A	「工农武装割据」= 土地革命（中心内容）+ 武装斗争（主要斗争形式）+ 农村革命根据地（战略阵地）。B 是三大法宝，不要混淆。	考研政治::史纲
1935年遵义会议确立了毛泽东在党和红军中的领导地位，是中国共产党历史上一个生死攸关的转折点。（对/错？）	A. 正确<br>B. 错误	A	正确。遵义会议在红军第五次反「围剿」失败和长征初期严重受挫的背景下召开，开始确立以毛泽东为主要代表的马克思主义正确路线在党中央的领导地位，是党从幼年走向成熟的标志。	考研政治::史纲
中国人民抗日战争进入全民族抗战新阶段的标志是：	A. 1937年七七事变<br>B. 1931年九一八事变<br>C. 1936年西安事变<br>D. 1937年八一三事变	A	1931年九一八事变是中国抗日战争的起点（局部抗战）；1937年七七事变标志着日本发动全面侵华战争，中国人民进入全民族抗战的新阶段。	考研政治::史纲
抗日民族统一战线中的策略总方针是：	A. 发展进步势力、争取中间势力、孤立顽固势力<br>B. 又联合又斗争，以斗争求团结<br>C. 有理、有利、有节<br>D. 独立自主、自力更生	A	抗日民族统一战线的策略总方针是发展进步势力、争取中间势力、孤立顽固势力。对顽固派斗争的原则是「有理、有利、有节」。B 是对待顽固派的态度，C 是具体斗争原则。	考研政治::史纲
毛泽东在《论持久战》中指出，抗日战争将经历战略防御、战略相持、战略反攻三个阶段，其中战略相持阶段是抗日战争取得最后胜利的最关键阶段。（对/错？）	A. 正确<br>B. 错误	A	正确。《论持久战》科学预见了抗战的三个阶段，指出战略相持阶段是整个战争中最长的阶段，也是敌我力量对比发生根本变化的阶段，是夺取最后胜利的关键。	考研政治::史纲
1945年重庆谈判期间，国共双方签署的文件是：	A. 《双十协定》（《政府与中共代表会谈纪要》）<br>B. 《停战协定》<br>C. 《共同纲领》<br>D. 《中苏友好同盟条约》	A	1945年8月至10月重庆谈判，国共双方签署《政府与中共代表会谈纪要》即《双十协定》，确定了和平建国的基本方针。但蒋介石很快撕毁协定发动内战。	考研政治::史纲
1949年中共七届二中全会上，毛泽东提出的「两个务必」是：	A. 务必使同志们继续地保持谦虚、谨慎、不骄、不躁的作风，务必使同志们继续地保持艰苦奋斗的作风<br>B. 务必坚持武装斗争，务必坚持统一战线<br>C. 务必实事求是，务必群众路线<br>D. 务必独立自主，务必自力更生	A	七届二中全会提出「两个务必」，警示全党在革命胜利后要保持清醒头脑，经受住执政的考验。会议还提出党的工作重心必须由乡村转移到城市。	考研政治::史纲
社会主义核心价值观中，国家层面的价值目标是：	A. 富强、民主、文明、和谐<br>B. 自由、平等、公正、法治<br>C. 爱国、敬业、诚信、友善<br>D. 创新、协调、绿色、开放、共享	A	社会主义核心价值观三个层面：①国家层面（价值目标）：富强、民主、文明、和谐；②社会层面（价值取向）：自由、平等、公正、法治；③个人层面（价值准则）：爱国、敬业、诚信、友善。D是新发展理念。	考研政治::思修
法律权利和法律义务是对立统一的关系，两者不可分离。（对/错？）	A. 正确<br>B. 错误	A	正确。法律权利与法律义务是对立统一的：①结构上相互关联（权利的存在以义务的存在为前提）；②总量上等值（权利总量=义务总量）；③功能上互补；④价值上主次不同（现代法治以权利为本位）。	考研政治::思修
人生观的核心是：	A. 人生目的<br>B. 人生价值<br>C. 人生态度<br>D. 人生信仰	A	人生观由人生目的、人生态度、人生价值三部分构成。其中**人生目的**是人生观的核心，它决定人生道路、人生态度和人生价值标准。	考研政治::思修
评价人生价值的根本尺度是：	A. 一个人对社会和他人所作的贡献<br>B. 一个人从社会获得的满足程度<br>C. 一个人的社会地位和财富<br>D. 一个人的自我感觉	A	人生价值评价的根本尺度是看一个人**对社会和他人所作的贡献**。人生价值包括自我价值和社会价值，二者统一于社会实践，其中社会价值是主要方面。	考研政治::思修
人生价值的大小取决于对社会的贡献，因此人的自我价值不重要。（对/错？）	A. 正确<br>B. 错误	B	错误。人生价值是自我价值与社会价值的统一：自我价值（社会对个人的尊重和满足）是前提，社会价值（个人对社会的责任和贡献）是主要方面。二者不可分割，不能只强调一方面。	考研政治::思修
关于理想和信念的关系，下列说法正确的是：	A. 理想是信念的依据和前提，信念是理想实现的重要保障<br>B. 信念是理想的依据，理想是信念的保障<br>C. 二者是同一概念的不同说法<br>D. 二者相互独立、没有联系	A	理想是人们在实践中形成的、有实现可能性的、对未来社会和自身发展的向往与追求；信念是人们在一定的认识基础上确立的对某种思想或事物坚信不疑并身体力行的心理态度和精神状态。理想是信念的依据，信念是理想实现的保障。	考研政治::思修
理想信念是精神之钙，是人生的精神支柱，能够指引人生的奋斗目标、提供人生的前进动力、提高人生的精神境界。（对/错？）	A. 正确<br>B. 错误	A	正确。理想信念的作用集中体现为三个方面：指引奋斗目标、提供前进动力、提高精神境界。它是世界观、人生观、价值观的集中体现。	考研政治::思修
中国特色社会主义的共同理想是：	A. 在中国共产党领导下，坚持和发展中国特色社会主义，实现中华民族伟大复兴<br>B. 建立共产主义社会<br>C. 实现个人价值的最大化<br>D. 建设小康社会	A	中国特色社会主义共同理想是在中国共产党领导下，坚持和发展中国特色社会主义，实现中华民族伟大复兴。它与共产主义远大理想相互贯通、相互促进。	考研政治::思修
中国精神的内容是：	A. 以爱国主义为核心的民族精神和以改革创新为核心的时代精神<br>B. 以改革创新为核心的民族精神和以爱国主义为核心的时代精神<br>C. 艰苦奋斗精神和实事求是精神<br>D. 集体主义精神和为人民服务精神	A	中国精神 = 民族精神 + 时代精神。民族精神以**爱国主义**为核心，时代精神以**改革创新**为核心。B 项把两个核心对调了。	考研政治::思修
新时代爱国主义的本质是：	A. 坚持爱国和爱党、爱社会主义高度统一<br>B. 抵制一切外来文化<br>C. 维护祖国的统一和民族团结<br>D. 增强民族自尊心和自信心	A	新时代爱国主义的本质是坚持爱国和爱党、爱社会主义高度统一。爱国主义不是狭隘的民族主义，B 项是错误倾向。	考研政治::思修
改革创新是时代精神的核心，是推动人类社会发展的根本动力，也是中华民族最深沉的民族禀赋。（对/错？）	A. 正确<br>B. 错误	A	正确。改革创新是时代精神的核心，是当代中国最鲜明的特色。注意：说改革创新是「推动人类社会发展的根本动力」属于比喻性表述，答题时通常以「社会发展的重要动力」为稳。	考研政治::思修
「自由、平等、公正、法治」属于社会主义核心价值观的哪个层面？	A. 社会层面<br>B. 国家层面<br>C. 个人层面<br>D. 经济层面	A	自由、平等、公正、法治是社会层面的价值取向；富强、民主、文明、和谐是国家层面；爱国、敬业、诚信、友善是个人层面。三个层面共24字。	考研政治::思修
社会主义核心价值观是当代中国精神的集中体现，凝结着全体人民共同的价值追求。（对/错？）	A. 正确<br>B. 错误	A	正确。社会主义核心价值观是社会主义核心价值体系的内核，是当代中国精神的集中体现，是凝聚中国力量的思想道德基础。	考研政治::思修
「爱国、敬业、诚信、友善」回答的是：	A. 我们要建设什么样的国家、建设什么样的社会、培育什么样的公民中的「培育什么样的公民」<br>B. 建设什么样的国家<br>C. 建设什么样的社会<br>D. 什么是社会主义	A	三个层面分别回答：国家层面回答「建设什么样的国家」；社会层面回答「建设什么样的社会」；个人层面回答「培育什么样的公民」。	考研政治::思修
道德的本质是：	A. 由社会经济基础决定的社会意识形态，是一种特殊的社会意识形态<br>B. 人与生俱来的自然本能<br>C. 超历史的永恒观念<br>D. 神的意志的体现	A	道德是反映社会经济关系的特殊意识形态，是由社会经济基础决定的，并随社会经济关系的变化而变化。B、C、D 都是唯心主义道德观。	考研政治::思修
社会主义道德的核心和原则分别是：	A. 为人民服务；集体主义<br>B. 集体主义；为人民服务<br>C. 爱国主义；集体主义<br>D. 为人民服务；爱国主义	A	社会主义道德**核心是为人民服务**，**原则是集体主义**。二者容易对调。集体主义强调国家利益、社会整体利益和个人利益的辩证统一。	考研政治::思修
中华传统美德是中国道德文明成果的精华，但其内容也需要进行创造性转化和创新性发展。（对/错？）	A. 正确<br>B. 错误	A	正确。对待中华传统美德要坚持「古为今用、推陈出新」，既反对全盘继承的复古主义，也反对全盘否定的历史虚无主义。	考研政治::思修
关于我国宪法的地位，下列说法正确的是：	A. 宪法是国家的根本法，具有最高的法律地位、法律权威、法律效力<br>B. 宪法是普通法律之一<br>C. 宪法由全国人大常务委员会制定<br>D. 宪法的修改程序与普通法律相同	A	宪法是国家的根本法，是治国安邦的总章程，具有最高法律地位、法律权威、法律效力。修改宪法须由全国人大常委会或1/5以上全国人大代表提议，并由全国人大以全体代表的2/3以上多数通过。	考研政治::思修
全面依法治国的总目标是：	A. 建设中国特色社会主义法治体系，建设社会主义法治国家<br>B. 建立完备的法律规范体系<br>C. 实现科学立法、严格执法<br>D. 增强全民法治观念	A	全面依法治国的总目标是建设中国特色社会主义法治体系、建设社会主义法治国家。B、C、D 都是具体任务，层次低于「总目标」。	考研政治::思修
法治思维以法律为最高权威，强调法律面前人人平等，要求国家机关依法行使权力。（对/错？）	A. 正确<br>B. 错误	A	正确。法治思维的基本内容包括法律至上、权力制约、公平正义、权利保障、正当程序。与人治思维相对立。	考研政治::思修
中国特色社会主义最本质的特征是：	A. 人民民主专政<br>B. 中国共产党的领导<br>C. 社会主义市场经济<br>D. 依法治国	B	中国共产党的领导是中国特色社会主义最本质的特征，是中国特色社会主义制度的最大优势。党是最高政治领导力量。这是习近平新时代中国特色社会主义思想的核心要义之一。	考研政治::习思想
'四个全面'战略布局中，作为战略目标的是：	A. 全面建设社会主义现代化国家<br>B. 全面深化改革<br>C. 全面依法治国<br>D. 全面从严治党	A	四个全面：①全面建设社会主义现代化国家（战略目标）；②全面深化改革（战略举措/动力）；③全面依法治国（战略举措/保障）；④全面从严治党（战略举措/保证）。注意：原来是'全面建成小康社会'，2020年后更新为'现代化'。	考研政治::习思想
习近平新时代中国特色社会主义思想回答的重大时代课题是：	A. 新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义<br>B. 什么是社会主义、怎样建设社会主义<br>C. 建设什么样的党、怎样建设党<br>D. 实现什么样的发展、怎样发展	A	习近平新时代中国特色社会主义思想回答的是「新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义」等重大时代课题。B 是邓小平理论，C 是「三个代表」，D 是科学发展观。	考研政治::习思想
「两个确立」是指：	A. 确立习近平同志党中央的核心、全党的核心地位，确立习近平新时代中国特色社会主义思想的指导地位<br>B. 确立社会主义基本制度，确立社会主义市场经济体制<br>C. 确立中国特色社会主义道路，确立中国特色社会主义理论体系<br>D. 确立党的领导地位，确立人民主体地位	A	「两个确立」是党在新时代取得的最重要政治成果，是做到「两个维护」（坚决维护习近平总书记党中央的核心、全党的核心地位，坚决维护党中央权威和集中统一领导）的前提和基础。	考研政治::习思想
习近平新时代中国特色社会主义思想是当代中国马克思主义、二十一世纪马克思主义，是中华文化和中国精神的时代精华。（对/错？）	A. 正确<br>B. 错误	A	正确。这是对习近平新时代中国特色社会主义思想历史地位的科学定位。它是马克思主义中国化时代化的最新成果，是全党全国人民为实现中华民族伟大复兴而奋斗的行动指南。	考研政治::习思想
中国式现代化是中国共产党领导的社会主义现代化，其五个方面的中国特色不包括：	A. 人口规模巨大<br>B. 全体人民共同富裕<br>C. 物质文明和精神文明相协调<br>D. 照搬西方现代化模式	D	中国式现代化的五个中国特色：人口规模巨大、全体人民共同富裕、物质文明和精神文明相协调、人与自然和谐共生、走和平发展道路。D 项与中国式现代化的本质要求根本对立。	考研政治::习思想
中国式现代化的本质要求中，居于首位的是：	A. 坚持中国共产党领导<br>B. 实现高质量发展<br>C. 发展全过程人民民主<br>D. 实现全体人民共同富裕	A	中国式现代化的本质要求：坚持中国共产党领导，坚持中国特色社会主义，实现高质量发展，发展全过程人民民主，丰富人民精神世界，实现全体人民共同富裕，促进人与自然和谐共生，推动构建人类命运共同体，创造人类文明新形态。「坚持中国共产党领导」居首，是根本保证。	考研政治::习思想
中国式现代化是强国建设、民族复兴的唯一正确道路，必须坚持把国家和民族发展放在自己力量的基点上。（对/错？）	A. 正确<br>B. 错误	A	正确。中国式现代化打破了「现代化=西方化」的迷思，拓展了发展中国家走向现代化的途径，为人类实现现代化提供了新的选择。	考研政治::习思想
推进中国式现代化必须牢牢把握的重大原则中，不包括：	A. 坚持和加强党的全面领导<br>B. 坚持中国特色社会主义道路<br>C. 坚持深化改革开放<br>D. 坚持照搬他国发展模式	D	推进中国式现代化必须牢牢把握的重大原则：坚持和加强党的全面领导、坚持中国特色社会主义道路、坚持以人民为中心的发展思想、坚持深化改革开放、坚持发扬斗争精神。D 项与之根本对立。	考研政治::习思想
「两个维护」是指：	A. 坚决维护习近平总书记党中央的核心、全党的核心地位，坚决维护党中央权威和集中统一领导<br>B. 维护国家主权、维护领土完整<br>C. 维护社会稳定、维护民族团结<br>D. 维护党的领导、维护人民利益	A	「两个维护」是党的最高政治原则和根本政治规矩。它与「两个确立」构成有机整体：「两个确立」是前提，「两个维护」是行动要求。	考研政治::习思想
党的领导是全面的、系统的、整体的，必须落实到党和国家事业各领域各方面各环节。（对/错？）	A. 正确<br>B. 错误	A	正确。坚持党的全面领导，最根本的是坚持党中央集中统一领导。要健全总揽全局、协调各方的党的领导制度体系。	考研政治::习思想
坚持以人民为中心的发展思想，其核心要义是：	A. 发展为了人民、发展依靠人民、发展成果由人民共享<br>B. 以经济建设为中心<br>C. 先富带动后富<br>D. 效率优先、兼顾公平	A	以人民为中心的发展思想的核心要义是发展为了人民、发展依靠人民、发展成果由人民共享。人民是党执政兴国的最大底气。	考研政治::习思想
全过程人民民主的本质属性是：	A. 人民当家作主<br>B. 民主选举<br>C. 协商民主<br>D. 基层自治	A	全过程人民民主是社会主义民主政治的本质属性，其本质是人民当家作主。它实现了过程民主和成果民主、程序民主和实质民主、直接民主和间接民主、人民民主和国家意志相统一。	考研政治::习思想
共同富裕是社会主义的本质要求，是中国式现代化的重要特征，必须在高质量发展中促进共同富裕。（对/错？）	A. 正确<br>B. 错误	A	正确。共同富裕是全体人民的共同富裕，是人民群众物质生活和精神生活都富裕，不是少数人的富裕，也不是整齐划一的平均主义。	考研政治::习思想
全面深化改革的总目标是：	A. 完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化<br>B. 建立社会主义市场经济体制<br>C. 建设中国特色社会主义法治体系<br>D. 实现社会主义现代化	A	全面深化改革的总目标是完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化。B 是1992年十四大提出的改革目标，C 是全面依法治国的总目标。	考研政治::习思想
改革开放是决定当代中国命运的关键一招，也是决定实现中华民族伟大复兴的关键一招。（对/错？）	A. 正确<br>B. 错误	A	正确。改革开放是党和人民事业大踏步赶上时代的重要法宝。新时代全面深化改革，要更加注重改革的系统性、整体性、协同性。	考研政治::习思想
新发展格局的核心内涵是：	A. 以国内大循环为主体、国内国际双循环相互促进<br>B. 以出口为导向、扩大对外开放<br>C. 以供给侧改革为主线、需求侧管理为辅<br>D. 以科技创新为核心、产业升级为支撑	A	新发展格局：以国内大循环为主体、国内国际双循环相互促进。不是封闭的国内循环，而是通过发挥内需潜力，使国内市场和国际市场更好联通。构建新发展格局的关键是畅通经济循环。	考研政治::习思想
全面建设社会主义现代化国家的首要任务是：	A. 高质量发展<br>B. 全面深化改革<br>C. 全面依法治国<br>D. 全面从严治党	A	高质量发展是全面建设社会主义现代化国家的首要任务。发展是党执政兴国的第一要务，而高质量发展是体现新发展理念的发展。	考研政治::习思想
新发展理念的内容是：	A. 创新、协调、绿色、开放、共享<br>B. 富强、民主、文明、和谐<br>C. 自由、平等、公正、法治<br>D. 爱国、敬业、诚信、友善	A	新发展理念是创新（动力）、协调（内在要求）、绿色（必要条件）、开放（必由之路）、共享（本质要求）。B、C、D 是社会主义核心价值观的三个层面。	考研政治::习思想
加快构建新发展格局，是指：	A. 以国内大循环为主体、国内国际双循环相互促进<br>B. 以国际大循环为主体<br>C. 完全依靠国内市场、闭关自守<br>D. 以出口导向为主	A	新发展格局是以国内大循环为主体、国内国际双循环相互促进。注意：以国内大循环为主体绝不是闭关锁国、自给自足，而是要继续扩大对外开放。	考研政治::习思想
建设现代化经济体系是我国发展的战略目标，其中实体经济是发展的着力点。（对/错？）	A. 正确<br>B. 错误	A	正确。建设现代化经济体系，要把发展经济的着力点放在实体经济上，同时加快建设制造强国、质量强国、网络强国、数字中国等。	考研政治::习思想
全面建成社会主义现代化强国，总的战略安排是分两步走，即：	A. 从2020年到2035年基本实现社会主义现代化；从2035年到本世纪中叶把我国建成富强民主文明和谐美丽的社会主义现代化强国<br>B. 从2020年到2030年全面建成小康社会；从2030年到2050年实现现代化<br>C. 从2020年到2025年实现工业化；从2025年到2035年实现现代化<br>D. 从2020年到2040年基本实现现代化；从2040年到2060年建成强国	A	两步走战略安排：①2020—2035年，基本实现社会主义现代化；②2035—本世纪中叶，把我国建成富强民主文明和谐美丽的社会主义现代化强国。	考研政治::习思想
教育、科技、人才是全面建设社会主义现代化国家的基础性、战略性支撑。（对/错？）	A. 正确<br>B. 错误	A	正确。必须坚持科技是第一生产力、人才是第一资源、创新是第一动力，深入实施科教兴国战略、人才强国战略、创新驱动发展战略。	考研政治::习思想
全面依法治国的关键少数是：	A. 领导干部<br>B. 司法机关<br>C. 立法机关<br>D. 律师队伍	A	领导干部是全面依法治国的关键少数，要带头尊法学法守法用法。坚持依法治国、依法执政、依法行政共同推进，法治国家、法治政府、法治社会一体建设。	考研政治::习思想
党的领导是社会主义法治最根本的保证，坚持党的领导与坚持依法治国是统一的。（对/错？）	A. 正确<br>B. 错误	A	正确。党的领导和社会主义法治是一致的，社会主义法治必须坚持党的领导，党的领导必须依靠社会主义法治。	考研政治::习思想
总体国家安全观以什么为宗旨、为根本？	A. 以人民安全为宗旨，以政治安全为根本<br>B. 以政治安全为宗旨，以人民安全为根本<br>C. 以经济安全为宗旨，以军事安全为根本<br>D. 以国土安全为宗旨，以经济安全为根本	A	总体国家安全观：以人民安全为宗旨，以政治安全为根本，以经济安全为基础，以军事、科技、文化、社会安全为保障，以促进国际安全为依托。	考研政治::习思想
中国特色大国外交的目标是推动构建：	A. 人类命运共同体<br>B. 国际政治新秩序<br>C. 新型大国关系<br>D. 周边命运共同体	A	推动构建人类命运共同体是中国特色大国外交的总目标。其内涵包括建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界。	考研政治::习思想
中国始终奉行独立自主的和平外交政策，走和平发展道路，反对一切形式的霸权主义和强权政治。（对/错？）	A. 正确<br>B. 错误	A	正确。中国坚持走和平发展道路，奉行互利共赢的开放战略，推动建设相互尊重、公平正义、合作共赢的新型国际关系。	考研政治::习思想
根据史纲核心考点，关于辛亥革命时期的武装起义与三民主义，下列说法正确的是？	A. A. 武昌起义是由同盟会总部直接组织发动的，是同盟会成立后影响最大的武装起义<br>B. B. 旧三民主义中的'民生主义'包含了'平均地权'与'节制资本'两大核心内容<br>C. C. 新三民主义明确提出了反帝主张，并增加了'耕者有其田'的内容，成为第一次国共合作的政治基础<br>D. D. 1921年中共一大宣告建党的同时，也正式建立了全国性的红色政权体系	C	A错，黄花岗起义是同盟会总部直接组织的影响最大的起义，武昌起义是共进会和文学社领导的；B错，旧三民主义民生主义只有'平均地权'，'节制资本'是新三民主义补充的；C正确，新三民主义明确反帝，增加耕者有其田和节制资本，是国共合作政治基础；D错，1931年中华苏维埃共和国临时中央政府成立才标志全国性红色政权建制。	考研政治::史纲
