#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
OSI参考模型中，负责数据格式转换和加密解密的是：	A. 会话层<br>B. 表示层<br>C. 应用层<br>D. 传输层	B	表示层（Presentation Layer）负责：①数据格式转换（如ASCII↔EBCDIC）；②数据加密/解密；③数据压缩/解压缩。会话层管理会话，应用层提供用户接口，传输层提供端到端可靠传输。	考研408::计算机网络
在单链表中，已知指针 p 指向待删除结点（p 不是尾结点）。下列关于删除该结点的说法，正确的是？	A. 必须从头遍历找到 p 的前驱，时间复杂度 O(n)，别无他法<br>B. 可将 p 后继结点的值复制到 p，再删除 p 的后继结点，时间复杂度 O(1)<br>C. 单链表中删除任意结点都可以在 O(1) 时间内完成<br>D. 单链表中无法删除 p 所指结点，只能删除 p 的后继	B	单链表删除结点常规做法需要前驱，从头遍历为 O(n)；但若 p 不是尾结点，可用「偷梁换柱」法：把 p->next 的值复制到 p，然后删除 p->next，效果等价于删除了 p，时间复杂度 O(1)。所以 A 说「别无他法」是错的；C 错在 p 为尾结点时此技巧失效，仍须 O(n) 找前驱；D 说法错误。	考研408::数据结构
静态链表用数组实现链表功能，其相对于普通数组的优势是：	A. 支持随机访问<br>B. 插入删除不需要移动元素<br>C. 存储空间更大<br>D. 查找速度更快	B	静态链表用游标（数组下标）代替指针，插入和删除只需修改游标，不需要移动元素。但它不支持随机访问，查找仍需顺序遍历。	考研408::数据结构
栈和队列的本质区别在于：	A. 存储结构不同<br>B. 操作的受限方式不同<br>C. 数据元素类型不同<br>D. 运算结果不同	B	栈和队列都是操作受限的线性表。栈限制在表尾进行插入和删除（LIFO），队列限制在表尾插入、表头删除（FIFO）。它们的逻辑结构相同（都是线性结构），区别在于操作规则。	考研408::数据结构
用两个栈可以模拟一个队列的行为。（对/错？）	A. 正确<br>B. 错误	A	正确。经典方法：栈S1用于入队（push），栈S2用于出队（pop）。入队时直接push到S1；出队时若S2空则将S1全部倒入S2再pop，否则直接pop S2。这样实现了FIFO。	考研408::数据结构
循环队列中，区分队空和队满的方法不包括：	A. 牺牲一个存储单元<br>B. 增设size变量记录元素个数<br>C. 增设tag标志位<br>D. 使用头指针等于尾指针判断	D	循环队列中front==rear既可能是队空也可能是队满，不能直接用此条件区分。常用方法：①牺牲一个单元（队满条件：(rear+1)%MaxSize==front）；②增设size；③增设tag标志最近操作是入队还是出队。	考研408::数据结构
关于中缀表达式转后缀表达式，以下说法正确的是：	A. 运算符优先级高的总是先出栈<br>B. 遇到左括号直接入栈，遇到右括号则弹出栈中所有运算符直到左括号<br>C. 后缀表达式中运算符的顺序与原式完全相同<br>D. 转换过程不需要栈	B	中缀转后缀的核心规则：遇到操作数直接输出；遇到左括号入栈；遇到右括号则弹出直到左括号；遇到运算符时，将栈中优先级≥当前运算符的全部弹出，再入栈当前运算符。	考研408::数据结构
一棵有n个结点的完全二叉树，其叶子结点个数为：	A. n/2<br>B. ⌊n/2⌋<br>C. ⌈n/2⌉<br>D. n/2 + 1	C	完全二叉树叶子结点数为⌈n/2⌉。因为完全二叉树最后一层的结点从左到右连续排列，度为1的结点最多1个。由n₀=n₂+1和n=n₀+n₁+n₂可推出n₀=⌈n/2⌉。	考研408::数据结构
哈夫曼树中，以下哪个性质一定成立？	A. 所有非叶结点的度都为2<br>B. 树一定是完全二叉树<br>C. 权值越大的叶子离根越远<br>D. 每个结点的左右子树高度相同	A	哈夫曼树是最优二叉树，其特点是：①没有度为1的结点（所有非叶结点度为2）；②权值越大的叶子离根越近（不是越远）；③不一定是完全二叉树。WPL最小是其核心特征。	考研408::数据结构
线索二叉树的主要优势是：	A. 减少存储空间<br>B. 方便找到结点的前驱和后继<br>C. 加快插入速度<br>D. 支持随机访问	B	线索二叉树利用n+1个空链域存放前驱/后继信息，使得遍历不需要递归或栈。中序线索二叉树可以直接找到中序遍历的前驱和后继，极大方便了遍历操作。	考研408::数据结构
任何一棵非空二叉树中，叶结点数等于度为2的结点数加1。（对/错？）	A. 正确<br>B. 错误	A	正确。设结点总数 n = n₀+n₁+n₂。总分支数 = n−1（除根外每个结点有一条入边），而按出度计算总分支数 = 0×n₀ + 1×n₁ + 2×n₂ = n₁+2n₂。于是 n₀+n₁+n₂ = n₁+2n₂+1，化简得 n₀ = n₂+1。该式与 n₁ 无关，因此对任意非空二叉树都成立。	考研408::数据结构
含n个结点的完全二叉树按层序从1开始编号，则结点i（满足2i ≤ n）的左孩子编号是？	A. i+1<br>B. 2i<br>C. 2i+1<br>D. ⌊i/2⌋	B	完全二叉树按层序编号时有：结点 i 的双亲为 ⌊i/2⌋；左孩子为 2i（若 2i ≤ n）；右孩子为 2i+1（若 2i+1 ≤ n）；若 i ≤ ⌊n/2⌋ 则结点 i 是分支结点，否则是叶结点。由最后一条还可推出：n 个结点的完全二叉树，叶结点编号从 ⌊n/2⌋+1 到 n。	考研408::数据结构
下列遍历序列组合中，不能唯一确定一棵二叉树的是？	A. 先序序列 + 中序序列<br>B. 后序序列 + 中序序列<br>C. 层次序列 + 中序序列<br>D. 先序序列 + 后序序列	D	先序+中序、后序+中序、层次+中序都能唯一确定一棵二叉树：中序序列中根结点左边是左子树、右边是右子树，而先序的第一个元素、后序的最后一个元素、层次序列的第一个元素都能给出根，于是可以递归划分左右子树。只有先序+后序不能唯一确定——当某个结点只有一个子树时，无法区分这棵子树是左子树还是右子树。	考研408::数据结构
将含m棵树的森林转换为二叉树后，二叉树根结点的右孩子链长度为m−1。（对/错？）	A. 正确<br>B. 错误	A	正确。森林转二叉树用「左孩子右兄弟」：第一棵树的根作为二叉树的根，其余每棵树的根依次作为前一棵树根的右孩子。因此从根结点沿右孩子方向共有 m−1 个结点，右孩子链长度就是 m−1。反过来，若二叉树根结点有右孩子，把右孩子链断开即可还原成森林。	考研408::数据结构
树的后根遍历相当于其对应二叉树的哪种遍历？	A. 先序遍历<br>B. 中序遍历<br>C. 后序遍历<br>D. 层次遍历	B	树转二叉树采用「左孩子右兄弟」后，遍历有固定对应关系：树的先根遍历 = 二叉树的先序遍历；树的后根遍历 = 二叉树的中序遍历。森林的遍历也有相同对应关系。这是树与二叉树转换中最常考的结论，注意不要按字面把「后根」对应成「后序」。	考研408::数据结构
含n个叶结点的哈夫曼树，其结点总数和度为1的结点数分别是？	A. 2n−1，0<br>B. 2n，0<br>C. 2n−1，1<br>D. 2n+1，0	A	哈夫曼树每次合并两棵根权值最小的树，合并 n−1 次，每次新增一个分支结点，故结点总数 = n + (n−1) = 2n−1；且不存在度为 1 的结点（只有度为 0 的叶结点和度为 2 的分支结点）。另外 WPL 有两种算法：① ∑(叶结点权值 × 路径长度)；② ∑(所有分支结点的权值)，两者结果相同。	考研408::数据结构
并查集采用树的双亲表示法存储，配合「小树并入大树」和「路径压缩」两种优化后，单次操作的平均时间复杂度近似为O(α(n))（α为阿克曼函数的反函数）。（对/错？）	A. 正确<br>B. 错误	A	正确。并查集用数组实现双亲表示法：数组下标是元素编号，数组值存双亲的下标，根结点的双亲域存 −集合大小（或 −1）。「小树并入大树」控制树高不快速增长；「路径压缩」在 Find 时把查找路径上所有结点直接挂到根上。两者结合后单次操作近似 O(α(n))，实际应用中 α(n) < 5，可视为常数。	考研408::数据结构
BFS和DFS分别适合使用什么数据结构来实现？	A. BFS用栈，DFS用队列<br>B. BFS用队列，DFS用栈（或递归）<br>C. 两者都用栈<br>D. 两者都用队列	B	BFS（广度优先）逐层访问，适合用队列（FIFO）实现；DFS（深度优先）优先深入，适合用栈（LIFO）或递归实现。这是两种遍历策略的本质区别。	考研408::数据结构
有向图的拓扑排序结果一定唯一。（对/错？）	A. 正确<br>B. 错误	B	错误。拓扑排序的结果通常不唯一。当存在多个入度为0的顶点时，选择顺序不同会得到不同的拓扑序列。只有当DAG为一条链（全序关系）时拓扑序列才唯一。	考研408::数据结构
Dijkstra算法和Floyd算法的主要区别是：	A. 前者求最短路径，后者求最小生成树<br>B. 前者求单源最短路，后者求全源最短路<br>C. 前者能处理负权边，后者不能<br>D. 前者时间复杂度更低	B	Dijkstra是单源最短路径算法（从一个源点到其余各点），不能处理负权边；Floyd是全源最短路径算法（任意两点间最短路），可以处理负权边但不能有负权环。	考研408::数据结构
关于最小生成树，以下说法正确的是：	A. 最小生成树的边权和唯一<br>B. 最小生成树的形态唯一<br>C. Kruskal算法基于贪心策略，每次选最短边<br>D. Prim和Kruskal的时间复杂度相同	A	最小生成树的边权和是唯一的（最小值唯一），但形态不一定唯一（当有多条相同权值的边时可能不同）。Kruskal选不会形成环的最短边（不只是最短边），Prim和Kruskal复杂度取决于实现。	考研408::数据结构
B+树和B树的关键区别是：	A. B+树是二叉树，B树不是<br>B. B+树所有数据记录都在叶子结点，B树数据分布在所有结点<br>C. B+树不支持范围查询<br>D. B树的查找速度一定比B+树快	B	B+树的核心特点：①所有数据记录都在叶子结点；②非叶结点仅做索引；③叶子结点通过指针链接成有序链表，便于范围查询。B树的数据分布在所有层级的结点中。	考研408::数据结构
哈希表中装填因子越大，查找效率越高。（对/错？）	A. 正确<br>B. 错误	B	错误。装填因子α=表中记录数/哈希表长度。α越大说明表越满，冲突概率越高，查找效率越低。通常α控制在0.7~0.8以下，超过时需要扩容或rehash。	考研408::数据结构
散列查找中，处理冲突的两种主要方法是：	A. 线性探测和二次探测<br>B. 开放定址法和链地址法<br>C. 直接定址法和除留余数法<br>D. 再哈希法和公共溢出区法	B	处理冲突的两大主要方法：①开放定址法（包括线性探测、二次探测、双散列等）——冲突时按某种规则寻找下一个空位；②链地址法（拉链法）——同义词用链表链接。A只是开放定址法的子类，C是哈希函数构造方法。	考研408::数据结构
KMP算法相对于朴素模式匹配的最大改进在于：	A. 减少了比较次数<br>B. 主串指针不回溯<br>C. 模式串更短<br>D. 使用了哈希	B	KMP的核心改进是主串指针i不回溯。当失配时，利用已匹配的部分（next数组）确定模式串的移动位置，避免了主串指针回退，使时间复杂度从O(mn)降到O(m+n)。	考研408::数据结构
KMP算法的next数组值仅与模式串本身有关，与主串无关。（对/错？）	A. 正确<br>B. 错误	A	正确。next数组记录的是模式串自身的前后缀最长公共长度，完全由模式串的结构决定，与主串内容无关。这也是KMP预处理的核心思想。	考研408::数据结构
二叉排序树的中序遍历结果一定是递增有序序列。（对/错？）	A. 正确<br>B. 错误	A	正确。二叉排序树(BST)的定义保证了左子树所有结点值 < 根 < 右子树所有结点值，因此中序遍历（左→根→右）必然得到递增序列。这也是BST的核心性质。	考研408::数据结构
以下排序算法中，哪个是不稳定的？	A. 归并排序<br>B. 插入排序<br>C. 快速排序<br>D. 冒泡排序	C	快速排序是不稳定的排序算法。不稳定的排序还有：希尔排序、简单选择排序、堆排序。记忆口诀：'快选希堆'不稳定。归并、插入、冒泡、基数排序是稳定的。	考研408::数据结构
以下哪种排序算法在最坏情况下时间复杂度仍为O(n log n)？	A. 快速排序<br>B. 堆排序<br>C. 希尔排序<br>D. 冒泡排序	B	堆排序在最坏、最好、平均情况下都是O(n log n)。快速排序最坏为O(n²)（已有序时）。归并排序也是O(n log n)但空间O(n)。堆排序是原地排序且最坏情况保证O(n log n)。	考研408::数据结构
对于小规模数据，直接插入排序比快速排序更合适。（对/错？）	A. 正确<br>B. 错误	A	正确。当数据规模较小时，直接插入排序的常数因子小，实际运行更快。这也是为什么很多高效排序实现（如C++的std::sort）在小规模子数组上会切换到插入排序。	考研408::数据结构
快速排序在以下哪种情况下性能最差？	A. 数据完全随机<br>B. 数据基本有序或基本逆序<br>C. 数据量非常大<br>D. 数据中包含负数	B	快排在基本有序或逆序时，每次划分的pivot都是极值，导致一边为空、一边为n-1个元素，退化为O(n²)。改进方法：三数取中法选pivot、随机化pivot、小数组切换插入排序。	考研408::数据结构
操作系统的四大基本特征是：	A. 并发、共享、虚拟、异步<br>B. 并发、安全、高效、可靠<br>C. 分时、批处理、实时、网络<br>D. 进程、内存、文件、设备	A	操作系统的四大基本特征：①并发（多个事件在同一时间段发生）；②共享（资源可供多个进程使用）；③虚拟（将物理实体变为逻辑上的对应物）；④异步（进程以不可预知的速度推进）。并发和共享是最基本的。	考研408::操作系统
在用户态下发生的中断（外中断）和异常（内中断），都会导致CPU从用户态切换到核心态。（对/错？）	A. 正确<br>B. 错误	A	正确。中断和异常是 CPU 由用户态进入核心态的两条途径。中断（外中断，如 I/O 完成、时钟中断）由外部事件触发；异常（内中断，如缺页、除零、系统调用）由当前指令执行引起。注意题干限定「在用户态下发生」：如果异常本身发生在核心态（如内核中发生缺页），则只涉及核心态内部的处理，不发生用户态→核心态的切换。	考研408::操作系统
内核态和用户态的区别在于：	A. 内核态运行速度更快<br>B. 内核态可执行特权指令，用户态只能执行非特权指令<br>C. 内核态使用的内存更大<br>D. 用户态不能访问任何硬件	B	核心区别是权限：内核态可以执行所有指令（包括特权指令如开/关中断、修改PSW等），访问所有资源；用户态只能执行非特权指令，访问受限。需要特权操作时通过系统调用陷入内核。	考研408::操作系统
进程和线程的根本区别是：	A. 进程比线程运行更快<br>B. 进程是资源分配的基本单位，线程是CPU调度的基本单位<br>C. 线程不能共享资源<br>D. 进程间可以直接通信，线程间不能	B	进程拥有独立的地址空间和资源，是资源分配的基本单位；线程共享所属进程的资源，只拥有少量独立资源（如栈、寄存器），是CPU调度和分派的基本单位。线程切换比进程切换开销小。	考研408::操作系统
产生死锁的四个必要条件中，哪个通常不被打破来预防死锁？	A. 互斥条件<br>B. 请求和保持条件<br>C. 不剥夺条件<br>D. 循环等待条件	A	互斥条件通常不能打破，因为很多资源（如打印机）本身就是不可共享的。实际预防死锁通常打破其他三个条件之一：①一次性申请所有资源（打破请求和保持）；②允许抢占（打破不剥夺）；③按序申请（打破循环等待）。	考研408::操作系统
银行家算法可以避免死锁，因为它能确保系统始终处于安全状态。（对/错？）	A. 正确<br>B. 错误	A	正确。银行家算法的核心思想：每次资源分配前，先用安全性算法检查分配后系统是否仍处于安全状态（存在至少一个安全序列）。只有安全时才分配，从而避免进入不安全状态，进而避免死锁。	考研408::操作系统
进程调度算法中，时间片轮转(RR)的主要目的是：	A. 最小化平均等待时间<br>B. 保证每个进程公平获得CPU时间<br>C. 最大化系统吞吐量<br>D. 优先服务短作业	B	RR的核心目标是公平性——每个进程轮流获得一个时间片的CPU时间。SJF才能最小化平均等待时间。RR的时间片大小很关键：太大退化为FCFS，太小则上下文切换开销大。	考研408::操作系统
信号量是一种整型变量，除了初始化外，只能通过P操作和V操作来访问。（对/错？）	A. 正确<br>B. 错误	B	错误。信号量分为两类，只有整型信号量才是整型变量。整型信号量定义为 int S，不满足让权等待；记录型信号量是结构体：typedef struct { int value; struct process *L; } semaphore; —— 除表示资源数目的 value 外，还有一个等待队列 L。题目把教材中「整型信号量是整型变量」的说法扩大成了「信号量是整型变量」，因此错误。（P、V 操作都是原子操作这一点本身是对的。）	考研408::操作系统
P操作(wait操作)的执行逻辑是：先将信号量S减1，若S<0则进程阻塞。以下关于P操作的说法正确的是？	A. P操作可能改变进程的状态为阻塞态<br>B. P操作一定不会改变信号量的值<br>C. P操作执行后S的值一定大于等于0<br>D. P操作是V操作的逆操作，两者完全等价	A	P操作先将S减1，如果S<0，则将进程加入阻塞队列，因此P操作可能使进程从就绪/运行态变为阻塞态。P操作一定会改变S的值（减1），P操作后S可能为负数。	考研408::操作系统
V操作(signal操作)的执行逻辑是：先将信号量S加1，若S<=0则唤醒阻塞队列中的一个进程。（对/错？）	A. 正确<br>B. 错误	A	V操作先将S加1。如果加1后S<=0，说明阻塞队列中还有进程在等待，于是唤醒一个阻塞进程。注意判断条件是S<=0而非S<0，因为加1前S可能为-1或更小。	考研408::操作系统
互斥信号量(mutex)的初值通常设置为？	A. 0<br>B. 1<br>C. -1<br>D. 进程数量	B	互斥信号量用于实现互斥访问临界资源，初值设为1，表示临界资源可用。第一个进程执行P(mutex)后S变为0，进入临界区；其他进程执行P(mutex)时S变为负数被阻塞。	考研408::操作系统
用信号量实现互斥时，P(mutex)和V(mutex)必须成对出现在同一进程的临界区前后，缺少任何一个都会导致错误。（对/错？）	A. 正确<br>B. 错误	A	P(mutex)在进入临界区前执行（申请资源），V(mutex)在离开临界区后执行（释放资源）。两者必须成对出现，否则会导致死锁（缺少V）或互斥失效（缺少P）。	考研408::操作系统
在经典生产者-消费者问题中，使用3个信号量：mutex(初值1)、empty(初值n)、full(初值0)。生产者进程的正确操作顺序是？	A. P(mutex) -> P(empty) -> 生产 -> V(mutex) -> V(full)<br>B. P(empty) -> P(mutex) -> 生产 -> V(mutex) -> V(full)<br>C. P(empty) -> P(mutex) -> 生产 -> V(full) -> V(mutex)<br>D. P(mutex) -> P(full) -> 生产 -> V(empty) -> V(mutex)	B	必须先P(empty)再P(mutex)。如果先P(mutex)再P(empty)，当缓冲区满时，生产者占有了mutex却被empty阻塞，而消费者需要mutex才能取走产品，导致死锁。	考研408::操作系统
生产者-消费者问题中，信号量empty表示缓冲区中空位置的数量，信号量full表示缓冲区中已填充产品的数量。（对/错？）	A. 正确<br>B. 错误	A	empty初值为n（缓冲区大小），表示可用空位数量；full初值为0，表示已有产品数量。两者是资源信号量，用于同步生产者和消费者。	考研408::操作系统
生产者-消费者问题中，如果将生产者的P(empty)和P(mutex)顺序对调（先P(mutex)再P(empty)），在什么情况下会出现问题？	A. 缓冲区为空时<br>B. 缓冲区为满时<br>C. 任何时候都不会有问题<br>D. 只有多个生产者时才有问题	B	当缓冲区满时(empty=0)，如果生产者先执行P(mutex)成功（mutex变为0），然后执行P(empty)被阻塞。此时消费者需要P(mutex)进入临界区取产品，但mutex已被生产者占用，形成死锁。	考研408::操作系统
在生产者-消费者问题中，如果去掉互斥信号量mutex，仅保留empty和full，程序仍然能正确运行，因为empty和full已经保证了互斥。（对/错？）	A. 正确<br>B. 错误	B	empty和full是资源信号量，用于同步，不能保证对缓冲区的互斥访问。当缓冲区既不满也不空时，生产者和消费者可能同时访问缓冲区，导致数据竞争。mutex是必须的互斥信号量。	考研408::操作系统
读者优先的读者-写者问题中，readcount(读者计数)的作用是？	A. 控制写者互斥访问<br>B. 记录正在读的读者数量，第一个读者与写者互斥，最后一个读者释放写锁<br>C. 限制读者的最大数量<br>D. 保证读者和写者同时访问	B	readcount记录正在读的读者数。第一个读者执行P(wmutex)与写者互斥，后续读者直接读。最后一个读者执行V(wmutex)释放。这样多个读者可以同时读，但读写互斥。	考研408::操作系统
读者优先的读者-写者问题中，只要有读者在读，后来的写者就必须等待，可能导致写者饥饿。（对/错？）	A. 正确<br>B. 错误	A	读者优先策略下，不断有新的读者到来时，写者将一直无法获得访问权（因为readcount始终不为0，wmutex不会被释放），导致写者饥饿。	考研408::操作系统
写者优先的读者-写者问题相比读者优先版本，额外增加的信号量w(初值1)的作用是？	A. 实现写者之间的互斥<br>B. 在有写者等待时阻止新的读者进入，防止写者饥饿<br>C. 记录等待的写者数量<br>D. 保护读操作的互斥	B	写者优先方案中，信号量w(初值1)用于在有写者等待时阻塞新到来的读者。第一个等待的写者执行P(w)锁住，后续读者在P(w)处被阻塞，直到所有等待的写者完成。	考研408::操作系统
5个哲学家围坐圆桌，每人左右各有一根筷子(共5根)。以下哪种方案不能解决哲学家进餐问题中的死锁？	A. 限制最多4个哲学家同时拿起筷子<br>B. 奇数号哲学家先拿左筷子再拿右筷子，偶数号先拿右筷子再拿左筷子<br>C. 每个哲学家都先拿左筷子再拿右筷子<br>D. 仅当左右两根筷子都可用时才同时拿起	C	如果每个哲学家都先拿左筷子再拿右筷子，当5个哲学家同时拿起左筷子时，每人右手边都没有筷子可用，形成循环等待——死锁。其他三个方案都能破坏死锁的必要条件。	考研408::操作系统
哲学家进餐问题中，使用信号量数组chopstick[5](每个初值为1)来模拟5根筷子，哲学家进餐前需要分别P(chopstick[i])和P(chopstick[(i+1)%5])获取左右筷子。（对/错？）	A. 正确<br>B. 错误	A	每根筷子用一个信号量表示，初值为1。哲学家需要同时获得左右两根筷子（两个P操作）才能进餐，进餐后释放（两个V操作）。但简单实现可能导致死锁。	考研408::操作系统
吸烟者问题中，代理商随机在桌上放两种物品（烟草/纸/火柴），3个吸烟者各缺一种。代理商放物品后应执行V操作唤醒对应的吸烟者，使用的信号量个数至少为？	A. 1个<br>B. 2个<br>C. 3个<br>D. 4个	D	需要至少4个信号量：1个agent信号量(代理商放物品后等待)，3个smoker信号量(分别对应缺烟草/缺纸/缺火柴的吸烟者)。代理商放物品后V对应的smoker信号量，然后P(agent)等待。	考研408::操作系统
吸烟者问题与生产者-消费者问题的关键区别在于：吸烟者问题中代理商生产的物品组合是随机的，需要条件同步。（对/错？）	A. 正确<br>B. 错误	A	代理商随机放置两种物品的组合，不同的组合唤醒不同的吸烟者。这需要根据条件来选择唤醒哪个进程，是典型的条件同步问题。	考研408::操作系统
睡眠理发师问题中，理发店有1把理发椅和n把等候椅。customers信号量的作用是？	A. 记录正在理发的顾客数量<br>B. 记录等待理发的顾客数量，唤醒睡眠中的理发师<br>C. 控制等候椅的互斥访问<br>D. 记录理发师的忙闲状态	B	customers信号量初值为0，每来一个顾客执行V(customers)唤醒理发师。理发师循环执行P(customers)，没有顾客时理发师睡眠。customers记录等待的顾客数量。	考研408::操作系统
以下关于PV操作与死锁关系的说法，正确的是？	A. 使用PV操作一定不会发生死锁<br>B. PV操作使用不当可能导致死锁，如P操作顺序不对<br>C. PV操作本身就是死锁的一种形式<br>D. 只要使用互斥信号量就不会发生死锁	B	PV操作本身是同步机制，但使用不当可能导致死锁。例如生产者-消费者问题中P操作顺序不对(先P(mutex)再P(empty))会导致死锁，哲学家进餐问题中同时拿左右筷子也会死锁。	考研408::操作系统
当信号量S的值为负数时，其绝对值表示阻塞队列中等待该信号量的进程个数。（对/错？）	A. 正确<br>B. 错误	A	信号量S>0表示可用资源数，S=0表示资源刚好用完但无等待进程，S<0表示有|S|个进程在阻塞队列中等待。这是信号量机制的基本性质。	考研408::操作系统
进程同步和进程互斥的区别是？	A. 同步和互斥完全相同，只是不同叫法<br>B. 互斥是指进程间不能同时访问临界资源，同步是指进程间的执行顺序有约束关系<br>C. 同步只存在于多处理器系统，互斥只存在于单处理器系统<br>D. 互斥用硬件实现，同步只能用软件实现	B	互斥强调对共享资源的排他访问（不能同时使用），是制约关系；同步强调进程间执行的先后顺序（必须先A后B），是协调关系。互斥可看作同步的特殊情况。	考研408::操作系统
整型信号量是一个整型变量，除初始化外仅能通过P、V两个原子操作访问；但整型信号量不满足让权等待。（对/错？）	A. 正确<br>B. 错误	A	正确。整型信号量定义为 int S，其 wait(S) 为 while(S<=0); S--; —— 当 S<=0 时进程一直在循环中测试，占着 CPU 空转，因此不满足让权等待。引入等待队列（记录型信号量）后，资源不足时用 block 原语主动放弃 CPU，才解决了忙等问题。	考研408::操作系统
关于整型信号量与记录型信号量，下列说法正确的是？	A. 两者都满足让权等待，都不存在忙等现象<br>B. 记录型信号量在资源计数值之外增加了等待队列，满足让权等待；整型信号量存在忙等<br>C. 整型信号量是结构体，记录型信号量是整型变量<br>D. 只有记录型信号量的值可以为负数，整型信号量的值不能为负	B	记录型信号量定义为 typedef struct { int value; struct process *L; } semaphore;，除资源数目 value 外还有等待队列 L；P 操作发现资源不足时调用 block 把自己挂到 L 上，主动放弃 CPU，满足让权等待。整型信号量只有一个整数，资源不足时忙等。A 错在整型信号量忙等；C 把两者说反；D 错在记录型信号量的值同样可以为负（|value| = 等待队列中的进程数），而且这不是区分两者的要点。	考研408::操作系统
在实现进程互斥的四类方法（软件方法、硬件指令、关中断、信号量）中，满足「让权等待」准则的是？	A. 只有软件方法（Peterson 算法）<br>B. 只有硬件指令（TSW/Swap）<br>C. 只有信号量方法<br>D. 四类方法都满足	C	让权等待指进程暂时无法进入临界区时应主动放弃 CPU。Peterson 算法在 while 循环中忙等；TSW/Swap 是硬件自旋，同样忙等；关中断方法在等待时也是忙等。只有信号量方法在 P 操作失败时调用 block 原语把进程挂到该信号量的等待队列，主动让出 CPU，再由 V 操作的 wakeup 唤醒，真正满足让权等待。	考研408::操作系统
分页存储管理的主要优点是：	A. 消除了外部碎片<br>B. 消除了内部碎片<br>C. 提高了程序执行速度<br>D. 减少了页表大小	A	分页管理将内存分成固定大小的页框，进程的页可以放入任意页框，彻底消除了外部碎片（无法利用的零散空闲区）。但会产生内部碎片（最后一页未填满的部分）。分段管理则消除内部碎片但有外部碎片。	考研408::操作系统
虚拟内存的大小受限于实际物理内存的大小。（对/错？）	A. 正确<br>B. 错误	B	错误。虚拟内存的大小取决于地址空间的位数（如32位系统虚拟地址空间为4GB），不受物理内存大小限制。虚拟内存通过将不活跃页面换出到磁盘来突破物理内存的限制，让每个进程'以为'自己拥有完整的地址空间。	考研408::操作系统
页面置换算法中，Belady异常是指：	A. 分配的页框越多，缺页率越低<br>B. 分配的页框越多，缺页率反而可能升高<br>C. 页面越大，缺页率越低<br>D. 进程越多，缺页率越低	B	Belady异常（Belady's anomaly）：使用FIFO置换算法时，分配更多物理页框反而可能导致缺页率升高的反常现象。注意：LRU和OPT算法不会出现Belady异常（它们是栈算法）。	考研408::操作系统
不考虑TLB和Cache时，下列关于地址转换访存次数的说法，正确的是？	A. 页式和段式都只需1次访存，段页式需2次<br>B. 页式、段式各需2次访存，段页式需3次，n级页表需n+1次<br>C. 所有非连续分配方式都只需2次访存<br>D. 段页式需2次访存，因为它只需要查一张表	B	页表/段表本身存放在主存中，查表也要访存。页式 = 查页表1次 + 访数据1次 = 2次；段式 = 查段表1次 + 访数据1次 = 2次；段页式 = 查段表1次 + 查页表1次 + 访数据1次 = 3次。规律是每多一层表结构，访存次数 +1，n 级页表共 n+1 次。有 TLB 且命中时只需 1 次访存。	考研408::操作系统
TLB不命中会触发缺页中断。（对/错？）	A. 正确<br>B. 错误	B	错误。三种「缺失」分属不同层次，不能叠加：TLB 不命中只是地址转换层的缓存未命中，硬件自动查页表（page table walk）取得页框号即可，不触发中断；Cache 不命中只多访存一次，同样不触发中断；只有页表项有效位 = 0（页不在物理内存）才触发缺页中断，由操作系统从磁盘调入页面。是否缺页与 TLB、Cache 的状态无关。	考研408::操作系统
执行指令 copy A to B（A为源操作数，B为目标操作数），若指令本身、A、B各自跨越两个页面，则该指令执行过程中最多可能引发多少次缺页中断？	A. 3次<br>B. 4次<br>C. 6次<br>D. 8次	C	取指令跨 2 页 → 2 次；读源操作数 A 跨 2 页 → 2 次；写目标操作数 B 跨 2 页 → 2 次，共 6 次。易错点：以为取指只算一次（指令跨页时取指也要访问两个页面），或漏掉指令本身跨页只算两个操作数（4 次）。	考研408::操作系统
改进型CLOCK置换算法中，优先淘汰的是「访问位=1、修改位=1」的页面。（对/错？）	A. 正确<br>B. 错误	B	错误。改进型 CLOCK 按 (访问位, 修改位) 把页面分四类，淘汰优先级为 (0,0) > (0,1) > (1,0) > (1,1)。优先淘汰「最近未被访问且未被修改」的页——既符合 LRU 思想，又不需要写回磁盘，代价最低。(1,1) 是最不该淘汰的，因为它刚被访问过且被修改过，淘汰它既要写回磁盘又违背局部性。	考研408::操作系统
在FIFO、LRU、OPT三种页面置换算法中，只有FIFO可能出现Belady异常。（对/错？）	A. 正确<br>B. 错误	A	正确。Belady 异常指分配给进程的物理块数增加，缺页率反而上升。FIFO 只按进入内存的先后顺序淘汰，不反映页面的使用情况，因此会出现；LRU 和 OPT 都属于栈算法（物理块增加时，驻留集是原集合的超集，单调不减），不会出现 Belady 异常。	考研408::操作系统
