#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
完形填空中，选择最佳答案的第一步应该是：	A. 看四个选项的区别<br>B. 通读全文了解大意<br>C. 直接根据语法选择<br>D. 从第一个空开始逐个填	B	完形填空的正确做题步骤：①先通读全文（跳过空格），把握文章主旨和逻辑脉络；②再逐空分析，结合上下文语境选择；③最后通读检查。不看全文直接填空容易选错，因为很多空需要上下文线索。	考研英语一::完形填空
词根 “vers / vert” 的核心含义是？	A. 来<br>B. 转<br>C. 站<br>D. 关	B	vers/vert = 转。reverse = re(回) + vers → 转回去 → 颠倒、逆转；convert = con(完全) + vert → 整个转过来 → 转换；diverse = di(分开) + vers → 转向不同方向 → 多样的。irreversible = ir(否定) + re(回) + vers(转) + ible(能被…的) → 不可被逆转的。	考研英语一::词汇
词根 “clud / clus” 的核心含义是？	A. 放<br>B. 伸<br>C. 来<br>D. 关	D	clud/clus = 关。conclude = con(一起) + clud → 全关起来 → 结束、得出结论；exclude = ex(向外) + clud → 关在外面 → 排除；include = in(进入) + clud → 关进来 → 包含。同族：preclude(阻止)。	考研英语一::词汇
用词根词缀法拆解 “unmistakable”（un- + mistak(e) + -able），其最准确的含义是？	A. 能够弄错的 → 情有可原的<br>B. 容易被弄错的 → 模棱两可的<br>C. 不可能被弄错的 → 明确无误的<br>D. 已经被弄错的 → 错误的	C	un-（否定）+ mistake（弄错）+ -able（能被……的，含被动）→ 不可能被弄错的 → 明确无误的。这是 -able 含被动义的典型例词，考研阅读中常用来表达“确凿无疑”。	考研英语一::词汇
拆解 “concede”（con- 一起/加强 + cede 走/让），其核心含义是？	A. 往回走 → 撤回<br>B. 一起走 → 同行<br>C. 让一步 → 承认、让步<br>D. 向前走 → 前进	C	con-（一起/加强）+ cede（走、让）→ 让一步 → 承认、让步。同族对比：concession(让步)、recede(后退)、proceed(前进)、exceed(超过)。	考研英语一::词汇
拆解 “insist”（in- 加强 + sist 站），其核心含义是？	A. 站着不动 → 停滞<br>B. 站到最后 → 幸存<br>C. 站到一边 → 回避<br>D. 站上去不动摇 → 坚称、坚持	D	in-（加强）+ sist（站）→ 站在上面不动摇 → 坚称、坚持。辨析：resist = re(反) + sist → 站着顶回去 → 抵抗；consist = con(一起) + sist → 站在一起 → 组成。	考研英语一::词汇
拆解 “self-evident”（self 自身 + e- 向外 + vid 看 + -ent …的），其含义是？	A. 只看得见自己 → 自负的<br>B. 需要向外求证 → 有争议的<br>C. 看不清自身 → 不自知的<br>D. 一看就看得见 → 不言自明的	D	self（自身）+ e-（向外）+ vid（看）+ -ent（……的）→ 自身向外一看就看得见 → 不言自明的。词根 vid/vis 表“看”：visible、provide、evident 同源。	考研英语一::词汇
“economic” 与 “economical” 的词义区别是？	A. economic 是“节约的”；economical 是“经济的”<br>B. 两者完全同义，在任何语境下都可互换使用<br>C. economic 是“经济的”；economical 是“节约的”<br>D. economic 形容人节约；economical 形容经济	C	后缀一变，意思就变：economic = 经济的（economic growth 经济增长）；economical = 节约的、实惠的（an economical car 省油的车）。同类：historic（有历史意义的）/ historical（历史的）。	考研英语一::词汇
由 “benefit”（好处、福利）派生的 “beneficial”，其含义是？	A. 有益的、有好处的（不含“福利”义）<br>B. 有资格领取福利的<br>C. 与福利制度有关的<br>D. 无益的、有害的	A	后缀一变，意思就变：benefit（好处、福利）→ beneficial（有益的，不含“福利”义）。be beneficial to sth = 对……有益。词根 bene- 表“好”：benefactor(恩人)、benevolent(仁慈的)。	考研英语一::词汇
关于 superior / inferior / prior / senior / junior 的用法，正确的是？	A. 本身即比较级，后接 to，不加 more、也不用 than<br>B. 本身即比较级，但后接 than<br>C. 需加 more 构成比较级，后接 to<br>D. 需加 more 构成比较级，后接 than	A	这组词本身即比较级形式，后接 to：be superior to（优于）、be inferior to（劣于）、be prior to（先于）、be senior to（年长于）。既不能再加 more，也不能用 than。	考研英语一::词汇
下列单词中，前缀表示“向前”（而非“在前”）的是？	A. proceed（pro- 向前 + ceed 走）<br>B. prevent（pre- 在前 + vent 来）<br>C. predict（pre- 在前 + dict 说）<br>D. prepare（pre- 在前 + pare 准备）	A	pro- 表“向前”（方向），pre- 表“在前”（时间）。proceed = 向前走 → 继续进行；predict / prepare / prevent 都是 pre-，表“事先”。同族：progress(前进)、promote(促进)。	考研英语一::词汇
下列单词中，前缀 “sub-” 表示“次级、下属”（而非单纯空间“下面”）的是？	A. subway（sub- 在下 + way 路 → 地铁）<br>B. submarine（sub- 在下 + marine 海 → 潜水艇）<br>C. subordinate（sub- 在下 + ordin 顺序 → 下级的、下属）<br>D. submerge（sub- 在下 + merge 沉 → 浸没）	C	sub- 有两个义项：空间“在……下面”（subway、submarine、submerge）与等级“次级、下属”（subordinate、subsidiary）。本题问等级义，四个选项里只有 subordinate 表“下级的、下属”。	考研英语一::词汇
后缀 -ful 与 -less 是一对反义后缀：-ful 表「充满……的」，-less 表「没有……的」。（对/错？）	A. 正确<br>B. 错误	A	正确。careful（小心的）/ careless（粗心的）；hopeful / hopeless；groundless = 毫无根据的。	考研英语一::词汇
以下哪组词汇在考研英语中常被混淆？'complement'和'compliment'的区别是：	A. 前者只能作名词，后者只能作动词<br>B. 前者是“赞美、恭维”，后者是“补充、补足物”<br>C. 前者是“补充、补足物”，后者是“赞美、恭维”<br>D. 两者含义相同，都表示“使完整”	C	complement（补充、补足物）——The wine complements the meal. compliment（赞美、恭维）——He paid her a compliment. 这类形近义异词是考研高频考点。类似：affect/effect, assure/ensure/insure。	考研英语一::词汇
考研英语大作文（图画/图表作文）的标准结构是：	A. 四段式：引言→正面论述→反面论述→结论<br>B. 一段式：直接论述，不分层次<br>C. 两段式：先描述图画，再作评论<br>D. 三段式：描述图画→分析原因→给出建议或总结	D	考研英语大作文标准三段式：①首段：描述图画/图表内容（what）；②中段：分析原因/深层含义（why）；③末段：提出建议/展望未来/总结观点（how）。每段约5-7句，总字数160-200词。	考研英语一::写作
考研英语写作中使用复杂句式一定能获得高分。（对/错？）	A. 正确<br>B. 错误	B	错误。考研写作评分标准强调：①内容完整切题；②语言准确（语法、拼写正确）；③表达丰富（适当使用多样句式）；④逻辑连贯。盲目使用复杂句式容易出错，反而扣分。应在保证正确的前提下适当使用，准确性优先于复杂性。	考研英语一::写作
考研英语小作文（Part A 应用文）最常考的类型是？	A. 摘要（abstract）写作<br>B. 书信类（建议信、申请信、投诉信）<br>C. 图表描述类说明文<br>D. 通知与告示类应用文	B	考研英语小作文（Part A）最常考应用文写作，其中书信类占绝大多数：建议信、申请信、投诉信、道歉信、推荐信等；通知与告示次之。格式（称呼、正文、落款）和语域（正式/半正式）是关键评分点，字数约 100 词。	考研英语一::写作
在考研英语一新题型“排序题”中，确定文章首段的最有效策略是？	A. 引出话题、不含指代前文的代词和逻辑转折词的段落<br>B. 含 the + 名词等定指回指信息、暗示上文已出现过的段落<br>C. 以 however、therefore 等强逻辑连接词开头的段落<br>D. 含 this、these 等指代前文的代词、需要上文支撑的段落	A	首段用于引出话题，因此不含指代前文的代词（如 this problem），也不会以强转折词（如 however）开头，通常也不含 the + 名词这类定指回指信息。三个干扰项正是排序题中判断“这段不可能是首段”的三条标准。	考研英语一::阅读理解
在考研英语一小作文（书信/通知）中，若题目要求写一封“建议信”，以下哪种语气和表达最为恰当？	A. 委婉礼貌：使用建议句型（I would suggest that...）<br>B. 语气强硬：使用祈使句（You must do this immediately.）<br>C. 口语随意：使用网络缩写（u should...）<br>D. 通篇被动：避免提及建议对象（It should be done.）	A	小作文要求语域（register）恰当。建议信应保持礼貌、委婉、得体，使用 "It would be appreciated if..." 或 "I would suggest that..." 等句型。	考研英语一::写作
利用词根词缀分析单词 "circumspect"，其词根 "spect" 意为“看”，前缀 "circum-" 意为“周围”，该词最恰当的中文释义是？	A. 环顾四周的<br>B. 谨慎的，小心的<br>C. 视野开阔的<br>D. 投机取巧的	B	circum（周围）+ spect（看）-> 到处看、四处观察 -> 引申为谨慎的，小心的。	考研英语一::词汇
在词根词缀记忆法中，前缀 "ob-" 在单词 "obstruct" 和 "obvious" 中的核心含义分别最接近于？	A. 反对/阻挡；在...面前<br>B. 加强语气；向外<br>C. 离开；向下<br>D. 共同；向上	A	ob- 有“against（反对/阻挡）”之意（如obstruct阻挡），也有“in front of / toward（在...面前/朝向）”之意（如obvious在面前的->明显的）。	考研英语一::词汇
在考研英语一大作文（图画作文）的写作中，第二段（论证段）最核心的逻辑展开方式通常是？	A. 列举三个与图画完全无关的名人名言<br>B. 详细描述图画的每一个视觉细节<br>C. 换词重申第一段的图画描述，不再展开<br>D. 解释图画寓意，并分析其背后的原因或影响	D	大作文第二段的核心是“论证”，即阐释图画寓意（interpret the meaning）并分析原因（causes）或影响（effects），而非单纯描述细节或堆砌无关名言。	考研英语一::写作
在考研英语词汇中，词根'ced/ceed/cess'表示'走、行进'。下列单词中，前缀与词根结合后，字面含义为'向前走、继续进行'且常考其'程序、诉讼'引申义的是？	A. access<br>B. excess<br>C. process<br>D. recess	C	pro-表示向前，cess表示走，process字面意思是向前走，引申为过程、程序、诉讼。access是接近（ac-朝向），excess是超出（ex-向外），recess是退回/休息（re-向后）。	考研英语一::词汇
考研英语一阅读Part B（新题型）中的“七选五”题型，解题时最关键的线索通常是？	A. 选项中与原文重复出现的单词最多的那一段<br>B. 文章首尾段的中心思想，忽略中间段落<br>C. 选项句子的语法复杂度和长度<br>D. 段落间的逻辑连接词、代词指代及上下文的同义替换	D	七选五考查篇章结构，核心线索是逻辑连接词（如however, therefore）、代词指代（如this, these）以及上下文的同义替换。	考研英语一::阅读理解
