#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
求 \(\iint_D (1-2x^2-y^2)\,d\sigma\)（\(D:\ 2x^2+y^2\le 1\)），下列做法正确的是？	A. 对原被积函数积分（广义极坐标），得 \(\frac{\pi}{2\sqrt2}\)，小于区域面积<br>B. 直接写成 \(\iint_D d\sigma\)，取椭圆面积 \(\frac{\pi}{\sqrt2}\) 作为结果<br>C. 取 \(\frac{2\pi}{\sqrt2}\)，因为被积函数在 \(D\) 上的最大值是 1<br>D. 取 \(0\)，因为被积函数关于原点对称、正负相互抵消	A	「二重积分 = 面积」仅在被积函数恒为 1 时成立（\(S_D=\iint_D 1\,d\sigma\)）。本题被积函数 \(1-2x^2-y^2\) 在 \(D\) 内从 1 变化到 0，不恒为 1。令 \(u=\sqrt2 x,\ v=y\) 化为单位圆，得 \(\iint_D(1-2x^2-y^2)\,d\sigma=\frac{1}{\sqrt2}\left(\pi-\frac{\pi}{2}\right)=\frac{\pi}{2\sqrt2}\)。自检：被积函数 \(\in[0,1]\) \(\Rightarrow\) 积分值必小于区域面积 \(\frac{\pi}{\sqrt2}\)。	考研数学一::高等数学
曲线积分与路径无关的充要条件是（在单连通区域内，P、Q具有一阶连续偏导数）：	A. P = Q<br>B. ∂P/∂x = ∂Q/∂y<br>C. ∂P/∂y = ∂Q/∂x<br>D. P和Q都是常数	C	在单连通区域D内，曲线积分∫Pdx+Qdy与路径无关 ⟺ ∂P/∂y = ∂Q/∂x（在D内处处成立）。这等价于存在原函数u使得du=Pdx+Qdy。注意：区域必须是单连通的，否则条件只是必要的。	考研数学一::高等数学
格林公式可以将二重积分转化为曲线积分，反之亦然。（对/错？）	A. 正确<br>B. 错误	A	正确。格林公式：∮_C Pdx+Qdy = ∬_D (∂Q/∂x - ∂P/∂y)dxdy，它将平面闭曲线积分与二重积分联系起来。使用时注意：①C必须是正向闭曲线；②P、Q在D内有一阶连续偏导数；③可用于计算面积。	考研数学一::高等数学
判别 \(\sum\limits_{n=1}^{\infty}\ln\!\left(1+\dfrac{(-1)^n}{\sqrt{n}}\right)\) 的敛散性，正确的是？	A. 发散：泰勒展开到二阶，\(-\frac{1}{2n}\) 这一同号项发散并主导部分和<br>B. 收敛：由 \(\ln(1+x_n)\sim x_n\)，与原级数同敛散<br>C. 收敛：通项趋于 0，所以级数收敛（必要条件当充分用）<br>D. 发散：通项不趋于 0，故直接用通项判发散（通项判别法）	A	变号级数禁止直接用等价无穷小判同敛散，必须泰勒展开到二阶：\(\ln\!\left(1+\frac{(-1)^n}{\sqrt n}\right)=\frac{(-1)^n}{\sqrt n}-\frac{1}{2n}+O(n^{-3/2})\)。第一项由莱布尼茨判别法收敛，第二项 \(-\frac12\sum\frac1n\) 是调和级数、发散到 \(-\infty\)，主导了部分和走向 \(\Rightarrow\) 原级数发散。口诀「正项才能用等价，变号必须多展一阶」。	考研数学一::高等数学
级数收敛的必要条件是：	A. 通项趋于0<br>B. 通项单调递减<br>C. 部分和有界<br>D. 通项趋于0且单调递减	A	级数∑aₙ收敛的必要条件是lim aₙ=0（通项趋于0）。但这只是必要条件，不是充分条件。例如调和级数∑(1/n)虽然通项趋于0但发散。判断收敛还需要其他判别法（比较判别法、比值法等）。	考研数学一::高等数学
关于条件收敛和绝对收敛，以下说法正确的是：	A. 条件收敛的级数各项绝对值也收敛<br>B. 绝对收敛的级数一定条件收敛<br>C. 绝对收敛 ⇒ 收敛，条件收敛 ⇒ 收敛但绝对值级数发散<br>D. 收敛级数一定绝对收敛	C	绝对收敛：∑|aₙ|收敛 → ∑aₙ一定收敛。条件收敛：∑aₙ收敛但∑|aₙ|发散。例如交错级数∑(-1)^(n+1)/n条件收敛（收敛但∑1/n发散）。绝对收敛比条件收敛更强。	考研数学一::高等数学
判断类型：dy/dx = e^(2x−y)	A. 可分离变量方程<br>B. 齐次方程<br>C. 一阶线性非齐次方程<br>D. 伯努利方程	A	右端 e^(2x−y) = e^(2x)·e^(−y)，可拆成『只含 x 的因子 × 只含 y 的因子』→ 可分离变量：e^(y)dy = e^(2x)dx。<br>y 出现在指数上 → 非线性；f(tx,ty) ≠ f(x,y) → 也非齐次方程。	考研数学一::高等数学
判断类型：dy/dx = (x+y)/(x−y)	A. 可分离变量方程<br>B. 齐次方程<br>C. 全微分方程<br>D. 一阶线性非齐次方程	B	分子、分母都是 x, y 的一次齐次式：f(tx,ty) = f(x,y) → 齐次方程，令 u = y/x 即可求解。<br>无法分离变量；对 y（或 x）都不是线性。	考研数学一::高等数学
判断类型：y′ + y·tan x = sec x	A. 齐次方程<br>B. 可分离变量方程<br>C. 一阶线性非齐次方程<br>D. 全微分方程	C	已是标准形 y′ + P(x)y = Q(x)，其中 P(x)=tan x、Q(x)=sec x → 一阶线性非齐次，用通解公式或积分因子求解。<br>检验非全微分：写成 (y·tanx − secx)dx + dy = 0 后，∂M/∂y = tanx ≠ 0 = ∂N/∂x。	考研数学一::高等数学
判断类型：dy/dx − y = x·y³	A. 一阶线性非齐次方程<br>B. 伯努利方程<br>C. 可分离变量方程<br>D. 全微分方程	B	标准伯努利形式 y′ + P(x)y = Q(x)y^(n)，这里 n = 3：y′ − y = x·y³。<br>令 z = y^(1−3) = y^(−2) 即化为一阶线性方程。y³ 的出现使其非线性、不可分离。	考研数学一::高等数学
判断类型：(x²+y)dx + (x−2y)dy = 0	A. 可分离变量方程<br>B. 齐次方程<br>C. 一阶线性非齐次方程<br>D. 全微分方程	D	M = x²+y，N = x−2y：∂M/∂y = 1 = ∂N/∂x → 全微分方程。<br>x² 项破坏齐次性；无论把 y 还是 x 当未知函数都不是线性。本题通解见第二组第 13 题。	考研数学一::高等数学
判断类型：y″ − 2y′ − 3y = 0	A. 二阶常系数齐次线性方程<br>B. 二阶常系数非齐次线性方程<br>C. 二阶变系数线性方程<br>D. 可降阶方程	A	y、y′、y″ 的系数全为常数，且右端为 0 → 二阶常系数齐次线性方程。<br>特征方程 r²−2r−3 = (r−3)(r+1) = 0，r = 3, −1，通解 y = C₁e³ˣ + C₂e⁻ˣ。	考研数学一::高等数学
判断类型：y″ + 4y = e^(x)	A. 二阶常系数齐次线性方程<br>B. 二阶常系数非齐次线性方程<br>C. 欧拉方程<br>D. 可降阶方程	B	系数为常数，但右端 eˣ ≠ 0 → 二阶常系数非齐次线性方程。<br>解法：先求齐次通解，再按 λ=1 不是特征根（r = ±2i）设 y* = a·eˣ。	考研数学一::高等数学
判断类型：(1+x²)y″ = 2x·y′	A. 二阶常系数齐次线性方程<br>B. 可降阶方程（缺 y 型：y″=f(x,y′)）<br>C. 可降阶方程（缺 x 型：y″=f(y,y′)）<br>D. 欧拉方程	B	方程中出现 y″ 和 y′，但不出现 y → 缺 y 型可降阶方程。<br>令 p = y′，则 y″ = p′，方程降为一阶方程 (1+x²)p′ = 2xp（本题求解见第二组第 15 题）。	考研数学一::高等数学
判断类型：y·y″ = (y′)²	A. 可降阶方程（缺 y 型：y″=f(x,y′)）<br>B. 二阶常系数齐次线性方程<br>C. 可降阶方程（缺 x 型：y″=f(y,y′)）<br>D. 全微分方程	C	方程中不出现 x（只含 y、y′、y″）→ 缺 x 型可降阶方程。<br>令 p = y′，则 y″ = p·dp/dy，方程化为 y·p·dp/dy = p²（通解见第二组第 16 题）。	考研数学一::高等数学
判断类型：x²y″ + x·y′ − y = ln x	A. 二阶常系数非齐次线性方程<br>B. 欧拉方程<br>C. 可降阶方程（缺 y 型）<br>D. 全微分方程	B	y″、y′、y 的系数依次为 x²、x、1（幂次恰为导数阶数）→ 欧拉方程，令 x = e^(t) 化为常系数方程。<br>ln x 正是欧拉方程最典型的右端。	考研数学一::高等数学
判断类型：x·dy/dx = y·ln y	A. 可分离变量方程<br>B. 一阶线性非齐次方程<br>C. 齐次方程<br>D. 伯努利方程	A	移项得 dy/(y·ln y) = dx/x，变量完全分开 → 可分离变量方程。<br>y·ln y 使其非线性；f(tx,ty) = y·ln(ty)/x ≠ f(x,y)，也非齐次。	考研数学一::高等数学
判断类型：(x²+y²)dx − 2xy·dy = 0	A. 可分离变量方程<br>B. 全微分方程<br>C. 一阶线性非齐次方程<br>D. 齐次方程	D	化为 dy/dx = (x²+y²)/(2xy)，分子分母均为二次齐次式 → 齐次方程，令 u = y/x。<br>检验非全微分：∂M/∂y = 2y，∂N/∂x = −2y，不相等。（本题通解见第二组第 10 题）	考研数学一::高等数学
判断类型：dy/dx = y/(x+y³)	A. 一阶线性方程（把 x 看成 y 的函数）<br>B. 伯努利方程<br>C. 齐次方程<br>D. 不属于任何标准类型	A	对 y 而言非线性（分母含 y³），但改写为 dx/dy − x/y = y²：把 x 看成 y 的函数，这正是标准一阶线性方程！<br>考研高频陷阱：未知函数不一定是 y，见到 dy/dx 中 y 的复杂结构时试试换位 x↔y。	考研数学一::高等数学
判断类型：dy/dx + y = y²·ln x	A. 一阶线性非齐次方程<br>B. 可分离变量方程<br>C. 伯努利方程<br>D. 全微分方程	C	即 y′ + P(x)y = Q(x)y^(n)，n = 2 → 伯努利方程。<br>令 z = 1/y，则 z′ − z = −ln x，化为一阶线性方程。	考研数学一::高等数学
判断类型：y″ + (x²+1)y′ − 3y = 0	A. 二阶常系数齐次线性方程<br>B. 欧拉方程<br>C. 可降阶方程<br>D. 二阶变系数线性方程（非常系数、非欧拉）	D	系数 (x²+1) 含 x → 非常系数；欧拉方程要求 y′ 系数形如 a/x（即 x²y″+axy′+by 结构），x²+1 不满足 → 非欧拉；x、y、y′ 俱全 → 三类可降阶都不适用。<br>归类：二阶变系数线性方程（考研中一般用幂级数解法，无通解公式）。	考研数学一::高等数学
判断类型：2xy³dx + (3x²y²+2y)dy = 0	A. 全微分方程<br>B. 齐次方程<br>C. 伯努利方程<br>D. 可分离变量方程	A	M = 2xy³，N = 3x²y²+2y：∂M/∂y = 6xy² = ∂N/∂x → 全微分方程。<br>原函数 F = x²y³ + y²，通解为 x²y³ + y² = C。	考研数学一::高等数学
判断类型：dy/dx = x²/(1+y²)	A. 齐次方程<br>B. 一阶线性非齐次方程<br>C. 全微分方程<br>D. 可分离变量方程	D	移项 (1+y²)dy = x²dx，变量完全分开 → 可分离变量方程。<br>积分得 y + y³/3 = x³/3 + C。	考研数学一::高等数学
判断类型：y″ − 2y′ + y = (1+x)e^(x)	A. 二阶常系数非齐次线性方程<br>B. 二阶常系数齐次线性方程<br>C. 欧拉方程<br>D. 可降阶方程（缺 x 型）	A	常系数 + 右端非零 → 二阶常系数非齐次线性方程。<br>注意：λ=1 恰为二重特征根（r²−2r+1 = (r−1)²），设特解时须乘 x²，即 y* = x²(ax+b)eˣ。	考研数学一::高等数学
判断类型：x²y″ − 2y = 0	A. 可降阶方程（y″ = f(x) 型，直接积分）<br>B. 欧拉方程<br>C. 二阶常系数齐次线性方程<br>D. 全微分方程	B	y″、y 的系数为 x²、1，符合 x²y″ + axy′ + by 结构（a = 0）→ 欧拉方程。<br>虽然缺 y′，但 y″ = 2y/x² 同时含 x 和 y，不属于任何一类可降阶方程（可降阶要求 y″ = f(x)、f(x,y′) 或 f(y,y′)）。	考研数学一::高等数学
判断类型：dx/dy + x/y = x²·y	A. 一阶线性非齐次方程（以 x 为未知函数）<br>B. 伯努利方程（以 x 为未知函数）<br>C. 可分离变量方程<br>D. 齐次方程	B	以 x 为未知函数：dx/dy + (1/y)x = y·x²，正是伯努利方程 y′ + P y = Q·y^(n)（n = 2）。<br>令 z = 1/x 即化为一阶线性。与第一组第 13 题对照：同样是 x、y 换位，一个变线性、一个变伯努利。	考研数学一::高等数学
y″ − 5y′ + 6y = 0 的通解为	A. y = C₁e²ˣ + C₂e³ˣ<br>B. y = (C₁+C₂x)e²ˣ<br>C. y = e²ˣ(C₁cos x + C₂sin x)<br>D. y = C₁e⁻²ˣ + C₂e⁻³ˣ	A	特征方程 r²−5r+6 = (r−2)(r−3) = 0 → 两不等实根 2、3。<br>口诀：两异实根直接加：y = C₁e²ˣ + C₂e³ˣ。	考研数学一::高等数学
y″ + 4y′ + 4y = 0 的通解为	A. y = C₁e⁻²ˣ + C₂e⁻²ˣ<br>B. y = (C₁+C₂x)e⁻²ˣ<br>C. y = e⁻²ˣ(C₁cos 2x + C₂sin 2x)<br>D. y = C₁e²ˣ + C₂e⁻²ˣ	B	特征方程 r²+4r+4 = (r+2)² → 二重根 −2。<br>重根必须多乘一个 x：y = (C₁+C₂x)e⁻²ˣ。<br>A 选项两个常数并成一个，只剩一个任意常数，不是二阶方程的通解。	考研数学一::高等数学
y″ + 2y′ + 5y = 0 的通解为	A. y = eˣ(C₁cos 2x + C₂sin 2x)<br>B. y = e⁻ˣ(C₁cos x + C₂sin x)<br>C. y = C₁e⁻ˣ + C₂e⁻²ˣ<br>D. y = e⁻ˣ(C₁cos 2x + C₂sin 2x)	D	特征方程 r²+2r+5 = 0 → r = −1±2i（共轭复根）。<br>实部 −1 作 e 的指数，虚部 2 作角频率：y = e⁻ˣ(C₁cos 2x + C₂sin 2x)。	考研数学一::高等数学
y″ + y = 0 的通解为	A. y = C₁eˣ + C₂e⁻ˣ<br>B. y = C₁cos x + C₂sin x<br>C. y = e⁻ˣ(C₁cos x + C₂sin x)<br>D. y = (C₁+C₂x)eˣ	B	r²+1 = 0 → r = ±i，实部为 0。<br>y = C₁cos x + C₂sin x，注意实部为 0 时没有 e 的指数因子。	考研数学一::高等数学
y″ − 2y′ − 3y = e³ˣ 的特解形式可设为	A. y* = a·e³ˣ<br>B. y* = a·x·e³ˣ<br>C. y* = (ax+b)e³ˣ<br>D. y* = a·x²·e³ˣ	B	特征根 r = 3, −1；右端 e³ˣ 的 λ = 3 是单特征根 → 共振，特解须乘一个 x：y* = ax·e³ˣ。<br>规则：λ 不是特征根乘 x⁰，是单根乘 x¹，是重根乘 x²。	考研数学一::高等数学
y″ + y = cos x 的特解形式可设为	A. y* = a·cos x + b·sin x<br>B. y* = a·x·cos x<br>C. y* = x(a·cos x + b·sin x)<br>D. y* = x²(a·cos x + b·sin x)	C	特征根 ±i，右端 cos x 对应 λ = i 恰是特征根 → 共振：y* = x(a·cos x + b·sin x)。<br>高频考点：即使右端只有 cos x，特解也必须同时设 cos 与 sin 两项。	考研数学一::高等数学
y″ − 4y′ + 4y = x·e²ˣ 的特解形式可设为	A. y* = (ax+b)e²ˣ<br>B. y* = x(ax+b)e²ˣ<br>C. y* = a·x·e²ˣ<br>D. y* = x²(ax+b)e²ˣ	D	特征方程 r²−4r+4 = (r−2)² → 二重根 2；λ = 2 与重根相同 → 乘 x²。<br>右端多项式是一次 → 必须保留完整的 (ax+b)。故 y* = x²(ax+b)e²ˣ。	考研数学一::高等数学
y′ + y = e⁻ˣ 的通解为	A. y = x·e⁻ˣ + C<br>B. y = (x+C)e⁻ˣ<br>C. y = C·e⁻ˣ + eˣ<br>D. y = (Cx+1)e⁻ˣ	B	乘积分因子 eˣ：(eˣy)′ = 1 → eˣy = x + C → y = (x+C)e⁻ˣ。<br>C 必须写在括号内！A 选项 y = xe⁻ˣ + C 代入方程并不满足（常数的导数为 0，但 e⁻ˣ 会被消掉）。	考研数学一::高等数学
dy/dx = x·y，y(0)=1 的特解为	A. y = e^(x²/2)<br>B. y = e^(x²)<br>C. y = e^(x/2)<br>D. y = e^(−x²/2)	A	分离变量 dy/y = x·dx → ln y = x²/2 + C₁ → y = C·e^(x²/2)。<br>代入 y(0)=1 得 C=1，故 y = e^(x²/2)。注意指数是 x²/2，别丢了 1/2。	考研数学一::高等数学
(x²+y²)dx − 2xy·dy = 0 的通解为	A. y² = x² + Cx<br>B. y = C·x·eˣ<br>C. y² = C·eˣ<br>D. y² = x²·ln x + Cx²	A	齐次方程（见第一组第 12 题）。令 u = y/x：x·du/dx = (1−u²)/(2u) → 分离变量积分得 1−u² = C/x。<br>回代 u = y/x：y² = x² − Cx，C 可正可负，即 y² = x² + Cx。	考研数学一::高等数学
dy/dx = y²，y(0)=1 的特解为	A. y = 1/(1−x)<br>B. y = 1/(1+x)<br>C. y = eˣ<br>D. y = 1/x	A	分离变量 dy/y² = dx → −1/y = x + C；y(0)=1 定出 C = −1 → y = −1/(x−1) = 1/(1−x)。<br>辨析：B 虽满足初值，但代入方程 y′ = y² 不成立（y′(0) = −1 ≠ 1）；C、D 连初值都不满足。	考研数学一::高等数学
y″ + 3y′ + 2y = 3x·e⁻ˣ 的特解形式可设为	A. y* = (ax+b)e⁻ˣ<br>B. y* = a·x·e⁻ˣ<br>C. y* = x(ax+b)e⁻ˣ<br>D. y* = x²(ax+b)e⁻ˣ	C	特征根 −1、−2；λ = −1 是单根 → 乘 x；右端是一次多项式 → 设完整 (ax+b)。<br>y* = x(ax+b)e⁻ˣ。C 丢掉常数项 b 是高频错误：待定系数法必须按右端多项式的完整次数设。	考研数学一::高等数学
(x²+y)dx + (x−2y)dy = 0 的通解为	A. x³/3 + xy − y² = C<br>B. x³/3 − xy + y² = C<br>C. x³ + xy − 2y² = C<br>D. x³/3 + xy + y² = C	A	全微分方程（第一组第 5 题）。F_(x) = x²+y → F = x³/3 + xy + g(y)；<br>再由 F_(y) = x + g′(y) = x − 2y → g′ = −2y → g = −y²。通解：x³/3 + xy − y² = C。	考研数学一::高等数学
x²y″ − 2y = 0（x＞0）的通解为	A. y = C₁e²ˣ + C₂e⁻ˣ<br>B. y = C₁x² + C₂/x<br>C. y = (C₁+C₂ln x)x²<br>D. y = C₁x² + C₂x	B	欧拉方程（第一组第 19 题）。令 x = e^(t)：特征方程 r(r−1)−2 = r²−r−2 = (r−2)(r+1) = 0 → r = 2, −1。<br>回代 x = e^(t)：y = C₁x² + C₂x⁻¹ = C₁x² + C₂/x。A 是忘了把 e^(t) 换回 x 的典型错误。	考研数学一::高等数学
(1+x²)y″ = 2x·y′，y(0)=1，y′(0)=3 的特解为	A. y = x³ + 3x + 1<br>B. y = x³ + x + 1<br>C. y = 3x³ + x + 1<br>D. y = x³ + 3x	A	缺 y 型可降阶（第一组第 8 题）。令 p = y′：(1+x²)p′ = 2xp → dp/p = 2x/(1+x²)dx → p = C(1+x²)。<br>y′(0)=3 → C=3 → y = x³+3x+C₂；y(0)=1 → C₂=1。故 y = x³+3x+1。	考研数学一::高等数学
y·y″ = (y′)² 的通解为	A. y = C₁x + C₂<br>B. y = C₂e^(C₁x)<br>C. y² = C₁x + C₂<br>D. y = C₁eˣ + C₂e⁻ˣ	B	缺 x 型（第一组第 9 题）。令 p = y′，y″ = p·dp/dy：y·p·dp/dy = p² → dp/p = dy/y → p = C₁y。<br>y′ = C₁y → y = C₂e^(C₁x)。特征：两个任意常数，且指数上带任意常数 C₁。	考研数学一::高等数学
一阶线性方程 y′ + P(x)y = Q(x) 的通解公式为	A. y = e^(∫P dx)(∫Q·e^(−∫P dx)dx + C)<br>B. y = e^(−∫P dx)(∫Q·e^(∫P dx)dx + C)<br>C. y = e^(−∫P dx)(∫Q·e^(−∫P dx)dx + C)<br>D. y = e^(∫P dx)(∫Q·e^(∫P dx)dx + C)	B	积分因子 μ = e^(∫P dx)，通解 y = e^(−∫P dx)(∫Q·e^(∫P dx)dx + C)。<br>记忆要点：括号内 e 的指数与外面 e 的指数符号相反；C 在最外层括号内。	考研数学一::高等数学
y″ + y = x·eˣ 的特解形式可设为	A. y* = a·x·eˣ<br>B. y* = x(ax+b)eˣ<br>C. y* = (ax+b)eˣ<br>D. y* = (ax+b)(cos x + sin x)	C	特征根 ±i；λ = 1 不是特征根 → 不乘 x，直接设 y* = (ax+b)eˣ。<br>右端是一次多项式 → 带完整 (ax+b)，不能只设 ax（对照第一组第 18 题：那里 λ 是重根才乘 x²）。	考研数学一::高等数学
y″ + 4y = 0 的通解为	A. y = C₁cos 2x + C₂sin 2x<br>B. y = C₁cos x + C₂sin x<br>C. y = e²ˣ(C₁cos x + C₂sin x)<br>D. y = C₁e²ˣ + C₂e⁻²ˣ	A	r²+4 = 0 → r = ±2i（实部 0、虚部 2）→ y = C₁cos 2x + C₂sin 2x。<br>易错点：角频率是 2，别写成 cos x / sin x。	考研数学一::高等数学
x·y′ + y = e^(x) 的通解为	A. y = (eˣ+C)/x<br>B. y = eˣ + C/x<br>C. y = eˣ/x + C<br>D. y = C·eˣ/x	A	左端恰为 (xy)′ → (xy)′ = e^(x) → xy = e^(x) + C → y = (eˣ+C)/x。<br>本质：一阶线性方程乘积分因子 x。C 必须在分子括号内；C、D 均不满足方程。	考研数学一::高等数学
一阶线性微分方程y'+P(x)y=Q(x)的通解公式的关键步骤是：	A. 分离变量<br>B. 两边乘以积分因子e^(∫P(x)dx)<br>C. 直接积分<br>D. 设y=uv进行变量替换	B	一阶线性ODE的解法核心是乘以积分因子μ=e^(∫P(x)dx)，使左边变为(μy)'的形式，然后直接积分。这是常数变易法的简化版。记住公式：y=e^(-∫Pdx)[∫Qe^(∫Pdx)dx+C]。	考研数学一::高等数学
二阶常系数齐次线性ODE的特征方程有两个相等实根r时，通解为y=(C₁+C₂x)e^(rx)。（对/错？）	A. 正确<br>B. 错误	A	正确。特征方程ar²+br+c=0：①两个不等实根r₁,r₂ → y=C₁e^(r₁x)+C₂e^(r₂x)；②两个相等实根r → y=(C₁+C₂x)e^(rx)（需要乘以x得到线性无关的第二解）；③共轭复根α±βi → y=e^(αx)(C₁cosβx+C₂sinβx)。	考研数学一::高等数学
行列式和矩阵的本质区别是：	A. 行列式是方阵，矩阵不一定是<br>B. 行列式是一个数值，矩阵是一个数表<br>C. 行列式可以转置，矩阵不能<br>D. 两者没有本质区别	B	行列式|A|是一个标量（数值），它是方阵元素的一个特定代数表达式。矩阵是一个数表，是一个数学对象。行列式是对方阵进行的一种运算结果，就像'面积'是对图形的一种度量。	考研数学一::线性代数
若方阵A的行列式|A|=0，则A一定有零特征值。（对/错？）	A. 正确<br>B. 错误	A	正确。|A|=0 ⟺ A不可逆 ⟺ A有零特征值。因为|A|等于所有特征值之积，若|A|=0则至少有一个特征值为0。这也是齐次方程Ax=0有非零解的充要条件。	考研数学一::线性代数
用初等行变换化上三角求行列式时，下列对应关系正确的是？	A. 倍加与交换都不变号，只有某行乘 k 才提因子<br>B. 三种行变换都不改变行列式的值<br>C. 倍加不变号；交换两行变号；某行乘 k 则行列式乘 k<br>D. 倍加要变号；交换两行不变；某行乘 k 行列式不变	C	三种行变换对行列式的影响各不相同：倍加不变、交换变号、倍乘提因子。口诀「倍加随便用，倍乘要记账，交换要变号」——某行乘 k 时必须在式外同步记 D → kD。只判 |A| 是否为 0（例如判断可逆）时三种变换可随意用，因为只关心零与非零。	考研数学一::线性代数
4 阶行列式中，副对角线项 a₁₄a₂₃a₃₂a₄₁ 的符号是？	A. 负号（副对角线永远是负号）<br>B. 无法确定，要看其余元素的正负<br>C. 正号（列标 4,3,2,1 的逆序数为 6，是偶数）<br>D. 正号（副对角线永远是正号）	C	副对角线项的符号是 (−1)^{n(n−1)/2}，不要死记「副对角线是负的」。n = 2：(−1)¹ = −1（负）；n = 3：(−1)³ = −1（负）；n = 4：(−1)⁶ = +1（正）；n = 5：(−1)¹⁰ = +1（正）。只有 2 阶和 3 阶的副对角线是负号，4 阶起就是正号。	考研数学一::线性代数
矩阵乘法的性质中，不成立的是：	A. 结合律：(AB)C=A(BC)<br>B. 分配律：A(B+C)=AB+AC<br>C. 交换律：AB=BA<br>D. 转置：(AB)ᵀ=BᵀAᵀ	C	矩阵乘法不满足交换律（AB≠BA一般情况下）。矩阵乘法满足结合律、分配律。转置的性质(AB)ᵀ=BᵀAᵀ需要注意顺序翻转。另外矩阵乘法也不满足消去律。	考研数学一::线性代数
若A≠0且AB=AC，则B=C。（对/错？）	A. 正确<br>B. 错误	B	错误。矩阵乘法不满足消去律。AB=AC即A(B-C)=0，只有当A可逆（|A|≠0）时才能左乘A⁻¹得B-C=0。若A不可逆（|A|=0），B-C可能不为0。例如A=[1,0;0,0]，B=[0,1;0,0]，C=0，AB=AC=0但B≠C。	考研数学一::线性代数
关于「秩 = 非零特征值个数」这一说法，正确的是？	A. 对任意矩阵都成立，是秩的基本性质<br>B. 仅当矩阵满秩时才成立<br>C. 仅当矩阵为对角矩阵时才成立<br>D. 仅当矩阵可对角化时才成立（如实对称矩阵）	D	「秩 = 非零特征值个数」只在矩阵**可对角化**时成立。反例：A = [0 1; 0 0] 的特征值全为 0，按该说法秩为 0，而实际 r(A) = 1。另注意：单纯求秩时行列变换可混用，但求极大无关组并表示其余向量时**只能做行变换**（做列变换会让表示系数全错）。	考研数学一::线性代数
向量组线性无关的充要条件是：	A. 向量组中没有零向量<br>B. 任意一个向量都不能由其余向量线性表示<br>C. 向量组的个数等于维数<br>D. 向量组两两正交	B	线性无关的定义：若k₁α₁+...+kₙαₙ=0只有零解（k₁=...=kₙ=0），则向量组线性无关。等价说法：任意一个向量都不能由其余向量线性表示。A是必要条件不是充分条件，C和D也是充分不必要条件。	考研数学一::线性代数
齐次线性方程组Ax=0有非零解的充要条件是：	A. |A|≠0<br>B. r(A) < n（n为未知量个数）<br>C. A是单位矩阵<br>D. A的行数大于列数	B	Ax=0有非零解 ⟺ r(A)<n ⟺ |A|=0（当A为方阵时）⟺ A的列向量线性相关。基础解系中有n-r(A)个解向量。齐次方程组一定有零解，问题是是否有非零解。	考研数学一::线性代数
非齐次方程组Ax=b有解时一定有唯一解。（对/错？）	A. 正确<br>B. 错误	B	错误。Ax=b有解的条件是r(A)=r(A|b)。有解时：若r(A)=r(A|b)=n（未知量个数），则解唯一；若r(A)=r(A|b)<n，则有无穷多解。有解不等于解唯一。	考研数学一::线性代数
用克拉默法则解线性方程组，若求得 |A| = 0，则？	A. 方程组有唯一解，但需要换其他方法求出<br>B. 方程组无解，因为 |A| = 0 说明系数矩阵不可逆<br>C. 不能判定无解：须比较 r(A) 与 r(A|b)，不等则无解，相等则无穷多解<br>D. 方程组必有无穷多解，因为 |A| = 0 说明方程线性相关	C	口诀「行列式零看秩比」：|A| = 0 时克拉默法则失效，必须比较 r(A) 与 r(A|b)：r(A) < r(A|b) → 无解；r(A) = r(A|b) < n → 无穷多解。另注意构造 D_j 时永远把**第 j 列**（不是行）换成 b，因为 x_j 的系数在第 j 列。	考研数学一::线性代数
n阶矩阵A可对角化的充要条件是：	A. A有n个不同的特征值<br>B. A有n个线性无关的特征向量<br>C. A是实对称矩阵<br>D. A的行列式不为0	B	A可对角化 ⟺ A有n个线性无关的特征向量。有n个不同特征值是充分条件（不同特征值的特征向量线性无关）。实对称矩阵一定可对角化，但这是充分条件。充要条件只看特征向量的个数。	考研数学一::线性代数
实对称矩阵的不同特征值对应的特征向量一定正交。（对/错？）	A. 正确<br>B. 错误	A	正确。这是实对称矩阵的重要性质：不同特征值的特征向量自动正交。因此实对称矩阵一定可以正交对角化（存在正交矩阵P使P⁻¹AP为对角矩阵）。同一特征值的特征向量需施密特正交化。	考研数学一::线性代数
判断两个实对称矩阵 A、B 是否合同、是否相似，正确的判据是？	A. 两者判据相同：实对称矩阵合同必然相似<br>B. 合同看行列式的符号；相似看矩阵的秩<br>C. 合同看特征值；相似看 (r, p, q)<br>D. 合同看 (r, p, q)；相似看特征值（含重数）	D	合同的不变量是 (r, p, q)（只看正负惯性指数的**符号个数**）；相似的不变量是特征值（看**数值**，含重数）。实对称时相似 ⇒ 合同，但合同 ⇏ 相似：反例 E 与 diag(4,1) 的 (r,p,q) 都是 (2,2,0) 故合同，而特征值 1,1 与 4,1 不同故不相似。口诀「合同看符号，相似看数值」。	考研数学一::线性代数
两个实对称矩阵若合同，则一定相似。（对/错？）	A. 正确<br>B. 错误	B	错误。合同只看 (r, p, q) 即惯性指数的符号个数，相似看特征值的数值。实对称时相似 ⇒ 合同，反向不成立：E 与 diag(4,1) 合同（p=2, q=0 相同）但不相似（特征值 1,1 与 4,1 不同）。	考研数学一::线性代数
